14424716
/m/03d33ln
/m/03d33ln
Jonathan Lethem
2007-03-12
a 7
about 2
acerbic 1
affair 1
allconsuming 1
alternative 1
amuses 1
an 3
and 7
angeles 2
anonymous 1
appear 1
are 1
art 1
as 2
at 3
band 3
bass 1
becomes 1
bedwin 2
begins 2
block 1
boredom 1
broadcast 1
called 1
caller 1
callers 1
carl 2
clearheaded 1
complainer 2
complaint 1
composer 1
consequences 1
creativity 1
denise 1
disrupts 1
drummer 1
exboyfriend 1
falls 1
fledgling 1
for 1
force 1
fragile 1
fritz 1
from 3
grievances 1
group 3
guitarist 1
heights 1
her 3
him 1
his 4
hoekke 1
however 1
humor 1
in 2
initially 1
inspiring 1
into 1
invitation 1
is 3
it 1
job 1
kangaroo 1
kidnaps 1
known 1
lang 1
late 1
lead 2
leading 2
leads 1
life 1
line 1
listening 1
live 1
local 1
loft 1
los 2
love 1
lucinda 3
lyrics 2
matthew 1
members 1
movie 1
music 1
musical 1
musings 1
name 1
new 1
no 1
obsessed 1
of 1
on 1
only 1
other 1
party 1
performance 2
playing 1
program 1
project 1
radio 2
reflections 1
regular 1
repeatedly 1
rock 1
romantic 1
same 1
save 1
selfdeprecating 1
sex 1
shame 1
she 3
shop 1
singer 1
song 1
successful 1
suffers 1
takes 1
talk 1
the 9
their 2
there 1
three 1
to 7
twenties 1
underemployed 1
unexpectedly 1
unstable 1
uses 1
using 1
very 1
watches 1
way 1
who 4
whose 1
with 3
woman 1
works 1
writer 1
zoo 1
