1567266
/m/05b_kj
/m/05b_kj
Herman Wouk
1978
{"/m/098tmk": "War novel", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
13 1
141 1
142 3
143 2
144 6
145 4
173 1
20 1
21 1
24 1
6 1
7 1
a 76
aaron 8
able 1
aboard 1
about 4
above 1
absalom 1
absorbed 1
accepting 1
acquiesces 1
across 1
acting 1
action 1
actor 1
acts 1
admiral 5
admiration 1
adolf 4
affair 1
affects 1
africa 2
after 12
aftermath 1
afterwards 1
again 1
against 4
agree 2
aide 2
air 4
alamein 2
alamos 1
albert 1
alistair 1
alive 1
all 3
allied 2
along 1
also 3
although 2
ambush 1
american 5
americans 2
amidst 1
an 12
and 89
anderson 3
another 3
any 2
apart 1
apathetic 1
appears 5
appoints 1
april 3
are 11
armin 3
army 3
arrives 1
as 32
aspects 1
assassinate 1
assault 1
assigned 2
assignment 1
assist 1
assistant 2
assists 1
aster 7
at 16
atom 1
atomic 1
attached 1
attack 4
attempt 1
attempts 1
audience 1
august 1
auschwitz 4
author 1
authorities 1
aviator 1
awarded 2
aware 2
axis 2
back 2
backdrop 1
baden 2
barracuda 1
battle 18
battles 1
battleship 1
bbc 1
be 9
beaches 1
bears 1
beat 1
beaten 1
beautification 2
because 6
beck 4
become 2
becomes 9
been 1
before 3
began 1
beginning 1
begins 2
behind 2
believe 2
benefit 1
benefits 1
berchtesgaden 1
berel 5
berlin 2
between 1
bias 1
blames 1
boat 1
bodies 1
body 2
bomb 4
book 11
borders 1
both 4
branch 1
breaks 3
breakup 2
briefly 1
brigadier 1
bring 1
brings 1
british 3
broadcast 1
broadcasting 1
brother 1
browning 1
build 1
bully 1
burnewilke 2
burning 1
but 10
by 9
byron 22
c 1
california 1
camp 4
camps 1
can 3
cane 1
capacity 1
capt 1
captain 2
captured 2
career 1
carrier 1
carriers 1
carries 1
carry 1
carrying 1
carter 2
cases 1
caught 2
causes 1
celebrated 1
center 1
chambers 1
chance 1
chaos 1
character 2
characters 2
charades 1
chase 1
chevy 1
chief 1
churchill 1
civilization 1
civilized 1
claus 1
cleveland 1
closes 1
coincidentally 1
cold 1
colonel 4
combat 1
coming 1
command 6
commander 7
commanderinchief 1
commands 1
commentary 2
commonly 1
competent 1
completes 1
concentration 3
conditions 1
conference 2
confesses 1
conquerors 1
consulate 1
contact 1
containing 1
continues 1
contribution 1
control 1
convince 2
convinced 1
copy 1
corps 1
corpses 2
correspondent 1
could 4
council 2
courier 1
cousin 2
cover 1
covered 1
craft 2
credited 1
cremated 1
cremating 1
cremation 1
crimes 1
crony 1
cross 4
crude 1
cruiser 3
culture 1
cycle 1
czech 2
d 2
damaged 1
danish 1
date 1
daughter 1
david 1
day 2
dead 1
death 7
decision 1
deck 1
decline 2
deduced 1
deep 1
deeply 1
defense 1
degradation 1
demolition 1
department 1
deport 1
despite 1
destroy 1
destroyer 1
detail 1
details 1
detainment 1
deterioration 1
development 1
device 1
devilfish 1
devotes 1
diary 1
did 3
didnt 1
dies 1
digging 1
diminutive 1
diplomat 1
diplomatic 2
direct 2
disappears 2
discuss 1
discussed 1
discussion 1
disobeyed 1
dissolute 1
division 1
divorce 2
do 2
does 4
doesnt 1
doing 1
down 3
dr 1
drama 1
dramatic 2
drinking 1
duncan 2
during 4
duty 2
dwight 1
earlier 1
early 3
earth 1
effect 1
effective 1
effects 1
effort 1
eichmann 5
eisenhower 2
el 2
elder 1
elders 1
element 1
embassy 1
emotional 1
empire 2
enables 2
end 6
ended 1
endless 1
ends 4
engage 1
engaged 2
engagement 2
enjoy 1
enterprise 2
ernest 1
error 1
erwin 1
escape 6
escapes 1
eugene 1
europe 7
european 1
evading 1
event 1
events 1
eventually 2
evidence 1
excellent 1
exchange 1
excuses 2
executive 3
exhuming 1
expatriated 1
experience 1
explain 1
exterminated 1
factfinding 1
facts 1
fail 1
faith 1
fall 1
falling 1
falls 1
familiar 1
farewell 1
farmer 1
father 4
faulted 1
february 1
feels 1
fellow 1
few 1
fictional 4
fight 1
fighting 1
figure 1
figurehead 1
final 1
finally 1
find 3
finds 1
finishes 1
first 7
five 1
flag 1
flagship 1
flame 1
fletcher 1
flies 1
flying 1
focuses 1
for 21
force 2
forced 2
forces 1
forgiven 1
former 3
forth 1
found 1
france 4
franklin 1
friendliness 1
from 12
front 1
fuehrer 1
full 1
future 1
gains 1
gallard 1
gas 1
gave 1
general 3
generally 1
genocide 1
german 11
germans 1
germany 5
get 5
getting 1
ghetto 1
gilmore 2
give 1
given 1
goes 3
government 5
grabs 1
gradual 1
gradually 2
grand 1
grandfather 1
greater 1
grigg 1
grounds 1
group 1
growler 1
guadalcanal 1
guards 2
gulf 2
gunman 1
hack 4
halfdecayed 1
halsey 4
happening 1
harbor 2
harrison 3
harry 4
has 5
have 2
having 2
hawaii 1
he 53
heavy 1
help 1
henry 25
henrys 1
her 9
heroine 1
hid 1
him 11
himself 1
his 43
historical 1
hit 1
hitler 10
hoban 1
hold 1
holocaust 2
home 3
honest 1
honor 1
hopkins 4
hornet 1
horrors 2
hospital 2
hostile 1
hours 1
howard 1
however 3
hugh 1
hunted 1
idea 1
ie 1
if 1
ii 2
illegal 1
immediately 2
in 91
includes 1
including 2
inform 1
initially 1
