28314866
/m/0cp18qr
/m/0cp18qr
Ally Carter
2010
a 25
abby 3
abduct 1
able 1
about 2
academy 3
according 1
adults 1
after 7
afterward 1
against 1
agent 8
agents 1
aim 1
alarms 1
alive 1
all 3
alone 2
already 1
also 1
ambushed 1
amusement 1
an 7
and 55
announces 1
answers 4
any 1
anything 1
appalled 1
are 5
argues 1
arrives 1
as 3
asks 7
assassins 1
assignment 1
assignments 1
assume 1
at 7
aunt 3
aware 1
away 4
back 2
bandaged 1
baxters 1
be 6
because 3
become 1
been 4
before 3
begins 1
being 1
belonged 1
between 1
bex 7
blackthorne 3
blackthornecammie 1
blames 1
blocked 1
book 3
boston 1
both 1
break 2
bridge 2
briefly 1
bring 1
brings 1
brought 1
buckingham 1
building 1
but 12
by 7
cameron 1
cammie 34
cannot 2
capture 1
car 1
carrier 1
cavan 4
changed 1
cia 1
circle 5
cliff 1
code 1
come 3
comes 1
comfort 1
coming 1
complete 1
complicated 1
confront 1
conversation 1
convince 1
could 1
couple 1
coveops 1
cover 2
dangerous 1
day 1
dead 2
decide 1
decided 1
decides 1
defenses 2
delinquents 1
demands 2
despite 1
developed 1
did 1
difficulty 1
dinner 1
discover 1
discovers 1
distressed 1
do 1
doing 1
dont 1
down 5
drugged 1
earlier 1
eavesdrop 1
edward 1
else 1
employee 1
end 1
enrolled 1
entrance 1
escaping 1
events 1
everything 1
except 1
experiment 1
explain 1
explains 1
explosives 2
eye 1
fact 1
family 1
father 4
favor 1
felt 1
field 1
fight 1
figure 2
finally 2
find 8
finds 4
follow 2
following 1
for 4
forehead 1
found 1
from 6
furious 1
gallagher 4
gazebo 1
get 10
gets 1
girl 2
girls 7
give 1
gives 2
go 9
goes 1
going 3
got 1
grabbed 1
grandparents 1
greece 1
group 1
gun 1
had 4
hands 1
happened 1
has 3
have 5
having 2
he 14
head 1
hear 1
heard 1
help 3
her 36
here 1
hidden 1
hide 1
higher 1
hill 1
him 16
himself 2
his 2
hoisted 1
horrified 1
hours 1
house 1
how 2
i 2
ice 1
if 2
ignores 1
in 10
including 1
infirmary 1
instead 2
interested 1
interrogated 2
into 4
is 30
it 14
its 1
job 1
joe 10
journal 8
judge 1
jumping 1
jumps 1
juvenile 1
keep 2
key 1
kill 1
killed 2
kissed 1
kisses 1
kissing 1
kitchen 1
know 3
last 1
later 6
leading 1
learn 7
leave 2
leaves 1
leaving 1
let 1
lights 1
liz 3
london 2
macey 2
made 1
make 2
makes 1
man 2
manages 1
matthew 2
maze 1
meant 1
member 1
members 2
message 2
mi6 2
might 1
missing 1
mission 2
mom 2
more 2
morgan 5
mother 6
mr 13
much 1
new 1
nights 1
no 2
not 6
notebook 1
now 1
of 11
off 3
old 1
on 6
one 6
only 1
operative 1
other 2
out 13
over 1
parents 3
park 1
part 1
passageways 1
people 1
pigeon 1
pigeons 2
place 2
plan 1
plot 1
possible 1
prison 1
proceeds 1
process 1
professor 1
promise 1
promising 1
protect 1
pull 1
quick 1
quickly 1
rachel 1
ran 2
ranch 1
reach 1
ready 1
released 1
reluctant 1
replies 2
reply 1
requested 1
responds 2
rest 1
retrieve 1
return 1
returned 1
reveal 1
revealed 2
reveals 2
rigged 1
right 1
rink 1
roof 1
room 3
roommates 4
rugged 1
run 4
runs 1
safe 4
saying 2
says 3
school 5
secret 1
security 3
see 4
seen 1
semester 1
send 1
sent 1
several 1
she 27
shortly 1
should 1
show 3
shut 1
side 1
since 1
sixteen 1
skating 1
sneaks 1
so 2
solomon 24
some 1
someone 1
soon 2
starts 1
stay 2
still 2
stop 1
story 1
strict 1
student 1
sublevel 1
sublevels 3
suggests 1
summer 2
supposed 2
surrounding 1
tail 1
take 3
takes 2
talk 2
talking 1
talks 1
teacher 1
teaching 1
telling 2
tells 4
terrorist 1
than 1
that 28
the 77
their 3
them 6
then 1
there 9
they 24
things 1
thinking 1
this 1
thought 1
threat 1
three 1
through 4
tiredlooking 1
to 67
toe 1
tombs 2
too 2
tower 1
townsend 8
trap 1
tried 3
tries 2
trip 1
trouble 1
trusting 1
try 3
trying 1
turns 1
two 2
understand 1
unless 1
up 5
upset 1
van 1
various 1
visit 1
wakes 1
walk 3
walks 1
walls 1
wanting 1
was 12
way 3
we 6
wearily 1
weeks 1
went 1
werent 1
what 2
when 2
where 4
which 2
while 6
who 6
why 2
will 6
with 8
woman 2
woods 1
work 1
working 1
would 5
written 1
wrote 1
yells 1
zach 24
