3901027
/m/0b5yy9
/m/0b5yy9
Henry James

a 6
about 2
adulteries 1
affair 1
although 1
america 1
american 1
amorous 1
an 3
and 2
arent 1
artist 1
as 2
austere 1
be 1
because 1
become 1
bring 1
but 1
cafe 1
cant 1
committed 1
comte 1
countryside 1
countrywoman 1
cynical 1
de 2
disturbing 1
dream 1
euphemia 5
europe 1
even 1
faithful 1
finally 1
foolish 1
for 1
forgive 1
free 1
french 1
frenchman 1
future 1
girlfriend 1
goes 1
has 1
he 3
hears 1
her 2
him 2
himself 1
hints 1
his 6
holiday 1
if 1
in 5
interest 1
introduced 1
involved 1
is 4
later 1
latest 1
leaves 1
longmore 6
makes 1
man 1
mauves 2
mistress 1
named 1
now 1
of 2
on 2
outside 1
paris 2
promised 1
pursue 1
reconcile 1
resists 1
returning 1
richard 4
scruples 1
she 1
should 1
sight 1
spots 1
still 1
suggestion 1
suicide 1
sweet 1
take 1
that 2
the 5
though 2
to 6
trip 1
two 1
undecided 1
wealthy 1
well 1
where 1
who 1
wife 2
with 3
womanizing 1
wonder 1
wouldnt 1
years 1
