18610497
/m/04gpg4w
/m/04gpg4w
Christopher Koch
1995
166 1
173 1
176 1
a 16
about 1
also 2
among 1
an 2
and 18
any 1
are 2
army 1
arvn 1
attempt 1
attempts 1
australia 1
australian 1
back 1
background 1
became 1
becomes 2
before 1
begins 1
border 1
broader 1
bunch 1
but 3
by 1
cambodia 2
cambodian 2
captured 1
centre 1
characters 1
childhood 2
coherent 1
comes 1
confusing 1
correspondents 1
course 1
daughter 1
debates 1
delta 1
development 1
diaries 1
different 2
dramatic 1
early 1
episodes 1
eventually 1
experiences 1
fall 1
family 1
farm 1
fascinatingly 1
fate 3
fellow 1
find 1
finding 1
focus 1
free 1
frenchvietnamese 1
friend 1
from 3
fruitpicking 1
goes 1
gripping 1
has 2
he 7
highways 3
his 9
history 2
how 1
however 1
idealisation 1
idealist 1
idiosyncratic 1
implicit 1
in 12
indochina 1
inevitability 1
inherits 1
into 1
involved 1
is 7
it 3
its 2
jumps 1
key 1
khmer 2
knowledge 1
koch 1
langford 9
lead 1
legendary 1
life 3
light 1
loses 1
makes 2
man 1
may 1
mekong 1
memorable 1
memories 1
mentor 1
mike 1
missing 1
myth 1
narrative 1
nearly 1
no 1
north 1
novel 1
novitiate 1
objectivity 1
of 12
offers 1
older 1
on 4
or 1
other 2
others 1
over 1
overall 1
own 1
part 1
parts 2
penh 2
personal 2
perspective 1
perspectives 1
phnom 2
photographer 1
photographers 1
plenty 1
poor 1
portrait 1
ray 3
readers 1
recollections 1
reconstruct 1
records 1
remains 1
result 1
romantic 1
rouge 1
saigon 4
second 1
sheds 1
sides 1
singapore 1
south 1
starves 1
stories 1
story 2
survivor 1
take 1
taped 1
tasmanian 1
tense 1
thailand 1
that 3
the 20
them 1
then 2
these 1
this 2
though 1
through 1
tied 1
to 11
told 1
tough 1
tragedies 2
tragic 1
troops 1
truth 1
understand 1
unity 1
up 1
using 1
vietnam 1
vietnamese 2
vivid 1
war 6
went 1
when 2
where 1
whose 1
why 1
wife 1
will 1
with 4
without 1
witnesses 1
woman 2
women 1
work 1
write 1
