7850799
/m/026g6dt
/m/026g6dt
Eoin Colfer

a 4
actual 1
after 2
again 1
allireland 1
although 1
an 2
and 6
annoys 1
another 1
arguable 1
as 1
away 1
bad 1
bans 1
because 3
being 1
benny 7
bigger 1
boy 2
bracelet 1
brother 1
but 2
called 1
country 1
determined 1
develop 1
doesnt 1
drowns 1
drugged 1
endures 1
english 1
everyone 1
exposed 1
fact 1
father 2
fault 1
find 1
flood 1
for 1
friendship 1
from 2
gave 1
had 1
hate 1
he 5
him 3
his 3
hospitalized 1
how 1
hurling 1
in 4
influence 1
irish 1
is 6
job 1
journeys 1
just 1
kaheena 1
life 1
look 1
losing 1
lucky 1
match 1
meets 1
named 1
new 1
of 1
off 1
omar 10
oversea 1
pain 1
parents 1
punishment 1
real 1
realizes 1
recovered 1
rescue 1
running 1
second 1
seeing 1
sister 1
sports 1
stop 1
suffering 1
supposed 1
team 1
tellyspeak 1
than 1
that 2
the 3
then 1
they 1
thinks 1
this 1
through 1
to 6
trust 1
tunisia 2
vanished 1
was 2
went 1
when 1
who 1
with 4
