52853
/m/0dwms
/m/0dwms
Lewis Carroll
1865-11-26
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/0pym5": "Absurdist fiction", "/m/02xlf": "Fiction"}
1 1
10 1
11 1
12 1
2 1
3 1
4 1
42 1
5 1
6 1
6nbsppm 1
7 1
8 1
a 58
about 2
accidentally 1
accusation 1
accused 1
admits 1
advice 1
after 2
again 5
air 2
alice 39
all 7
along 1
among 1
an 3
and 45
animals 7
ann 1
another 1
answers 1
appears 2
appropriate 1
are 1
argues 1
arm 1
around 1
as 7
asleep 1
at 8
attends 1
attractive 1
away 4
baby 3
back 2
balls 1
bank 2
be 9
beautiful 1
because 4
becomes 3
been 2
before 2
beheaded 1
behind 1
being 1
belongs 1
best 1
bill 3
birds 1
blue 1
bombarded 1
bored 1
bottle 1
box 1
breaks 1
brings 1
brought 1
brushing 1
but 9
by 6
cake 1
cakes 1
called 1
calling 1
calls 1
can 2
cant 1
cards 4
cat 9
caterpillar 4
caucus 1
caucusrace 1
cause 1
causes 3
ceiling 1
chaos 1
chapter 12
characters 1
chatte 1
cheshire 3
chimney 1
circle 1
citing 1
claiming 1
clear 1
climb 1
clothed 1
comes 2
complain 1
composed 1
compounded 1
conqueror 1
consists 1
contents 1
continues 1
convene 1
conversation 1
cook 3
court 2
crawling 1
cries 1
crisis 1
croquet 3
crowd 1
crowded 1
curious 2
current 1
dance 1
day 1
decides 1
delivers 1
descends 1
desk 1
difficult 1
directing 1
disappears 1
discovers 1
dishes 1
dismisses 1
displeases 1
disputes 1
dissatisfaction 1
dodo 1
door 1
doors 1
dormouse 3
down 4
drags 1
drink 1
dry 3
duchess 9
due 1
during 2
eat 1
eats 1
effort 1
elementary 1
enters 2
est 1
estate 1
eternally 1
even 2
eventually 2
ever 2
everyone 2
everything 1
evidence 1
execution 1
executioner 1
face 1
falls 2
familiar 1
famous 1
fan 2
feeling 1
ferocious 1
figure 1
finding 1
finds 2
fishfootman 1
fit 1
flamingos 1
float 1
flood 1
follows 1
for 7
french 2
frequently 1
frightens 1
frog 1
frogfootman 1
from 4
frustrates 1
gambit 1
game 3
garden 3
gardener 1
gathered 1
gawk 1
get 1
gets 1
giant 1
give 1
given 1
gives 1
gloves 1
go 2
gone 1
grin 3
grinning 1
ground 2
grow 3
growing 2
grows 1
gryphon 4
guest 1
had 2
hall 1
hallway 1
happenings 1
hare 3
has 7
hates 1
hatter 4
have 4
he 7
head 4
hears 1
hearts 6
hedgehogs 1
height 2
help 1
her 37
herself 3
high 2
him 3
his 6
hits 1
hold 1
hole 2
hookah 1
horrified 1
house 4
how 2
hurls 1
identity 1
imagine 1
impending 1
impossible 1
in 8
inability 1
include 1
including 2
incorrectly 1
indirect 1
inside 2
insulted 1
interrupts 1
into 7
introduces 2
invitation 1
invited 1
is 23
it 6
its 1
judge 1
judgement 1
jury 2
just 2
key 2
king 6
kings 1
knave 1
knocks 1
labelled 1
larger 1
later 1
leave 2
leaves 4
lecture 1
left 1
lets 1
like 1
little 2
live 1
living 1
lizard 2
lobster 3
locked 1
long 2
ma 1
mad 2
maidservant 1
make 3
makes 1
making 1
mallets 1
many 2
march 3
mary 1
matter 1
may 1
me 2
meanwhile 1
meets 3
might 1
mile 1
mistakes 1
mistaking 1
mock 5
moderately 1
moments 1
morals 1
more 3
mouse 4
much 1
mushroom 4
my 1
neck 1
never 1
no 3
not 2
notices 1
o 1
observes 1
of 26
off 4
offends 1
often 1
on 13
once 2
one 2
only 2
opening 1
or 2
order 1
ordered 1
orders 4
other 3
out 2
outside 1
over 3
own 2
pace 1
pack 1
painting 1
party 3
past 1
pebbles 1
pepper 2
perplexing 1
persons 1
phrase 1
picked 1
pieces 1
pig 2
pigeon 1
placed 1
play 2
playing 2
please 1
pocket 1
poem 1
pool 1
prison 1
proceedings 2
procession 1
prompted 1
prompting 1
punished 1
quadrille 2
queen 12
queens 1
question 1
questioning 1
questions 1
quickly 1
rabbit 8
race 1
rapid 1
rather 1
raven 1
reach 2
real 1
recites 1
red 1
reduce 1
refuses 1
refusing 1
release 1
remains 1
remark 1
remember 1
request 1
resolve 1
rest 1
retrieve 1
reveals 1
riddles 2
ridiculous 2
right 1
rising 1
riverbank 1
roof 1
rose 1
roses 2
rule 1
ruminates 1
run 1
running 1
sad 1
say 1
school 1
scoffs 1
scolds 1
sea 1
search 1
seats 1
seen 2
sees 1
sends 1
serpent 1
she 26
shorter 1
shouts 1
shower 1
shrink 2
shrinking 1
side 3
since 1
sings 1
sister 3
sitting 2
size 2
sizes 1
slightest 1
small 5
smaller 1
smoking 1
sneeze 1
so 1
some 3
sorrow 1
soup 2
standing 1
start 1
starts 1
steadily 1
stealing 1
still 1
stole 1
stories 1
story 2
stumbles 1
stupidest 1
subject 1
subjects 1
such 2
suddenly 1
surprise 1
swarm 1
swept 1
swimming 1
swims 1
table 2
take 1
takes 1
tale 1
talk 1
talking 2
taller 1
tarts 2
tea 6
teaparty 1
tears 4
tell 1
tells 2
than 2
that 13
the 125
their 2
them 8
then 4
they 4
thing 1
thinking 1
this 2
though 1
threat 1
three 1
through 4
throwing 1
time 2
tired 2
tis 1
to 49
tongue 1
too 3
trademark 1
transaction 1
tree 2
trees 1
tremendous 1
trial 4
tries 2
trumpeter 1
turn 1
turns 2
turtle 6
two 1
unafraid 1
unhappy 1
unwittingly 1
up 5
upon 3
used 2
uses 1
usual 1
utters 1
various 1
very 3
violently 2
voice 1
voices 1
wakes 1
was 1
watch 1
waters 1
way 1
well 1
what 1
when 2
where 3
whereby 1
which 9
while 3
white 6
who 5
why 1
will 2
william 1
winner 1
with 17
without 2
witness 1
witnesses 1
woken 1
would 1
writing 1
