417968
/m/025_lw
/m/025_lw
Raymond Chandler
1953
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/05hgj": "Novel", "/m/03xj9g": "Hardboiled"}
14 1
150 1
5000 1
a 30
accuses 1
action 1
actually 1
after 3
again 1
agrees 1
air 1
airport 1
all 2
allegedly 1
also 2
an 2
and 15
antagonizing 1
any 1
apparently 1
are 1
argues 1
arranged 1
arrested 2
as 4
asking 3
asks 1
assaulted 1
at 3
attempts 1
because 1
been 2
before 1
behest 1
best 1
bill 1
blame 1
both 1
bullies 1
but 5
buy 2
by 7
call 3
called 1
calls 1
candy 2
case 2
changes 1
chileno 1
claims 2
club 1
coast 1
come 1
confess 1
confession 2
consents 1
containing 1
convince 1
cooperate 1
cop 1
couch 1
cryptic 1
cut 1
dancers 1
days 2
dead 3
death 2
desert 1
details 1
detox 1
didnt 1
died 2
doesnt 2
dont 1
doorbell 1
drinking 3
drunk 1
during 1
each 1
earlier 1
early 1
eileen 4
ends 5
england 1
erstwhile 1
everything 1
face 1
facility 1
fatherinlaw 1
fee 1
fellow 1
few 1
finally 1
find 1
finding 1
finds 2
first 3
fled 1
flee 1
for 3
forge 1
forgot 1
former 1
found 2
frame 1
friend 1
friendship 1
from 6
full 1
further 1
gestapo 1
gets 5
grass 1
grills 1
had 2
has 2
have 2
he 12
head 1
help 1
helped 1
her 6
hers 1
herself 1
him 6
himself 1
his 10
home 1
hood 1
hotel 1
house 3
howard 1
husband 2
ii 1
in 13
initially 2
instead 1
interrogation 1
interrogators 1
into 2
investigate 1
investigators 1
is 8
it 4
june 1
keep 1
key 1
killed 5
killing 1
la 1
late 2
lay 1
learns 1
leaving 1
lennox 18
lennoxmarston 1
let 1
lie 1
listens 1
lived 1
long 1
lover 1
lunch 1
madison 1
makeshift 1
making 1
man 3
marlowe 26
married 1
marston 2
match 1
meets 1
mendy 1
menendez 3
mexican 2
missing 1
months 1
morning 1
mrs 5
murder 1
named 5
new 1
next 2
night 1
none 1
norway 1
note 2
novel 1
november 1
occurs 1
october 1
of 15
off 2
on 8
once 1
one 4
opens 1
or 2
otatocln 1
other 1
out 2
outside 2
over 1
passed 1
paul 2
philip 1
place 1
police 1
pool 1
portrait 1
postcosmeticsurgery 1
presumed 1
previously 2
probably 1
problem 1
publisher 1
ranch 1
randy 1
refuses 3
refusing 1
regarding 1
released 1
repeatedly 1
return 1
returns 1
revealed 1
ride 1
ringing 1
roger 5
room 1
running 1
saying 1
says 1
scars 1
seduce 1
see 1
servant 1
served 1
service 1
setup 1
she 4
shows 1
side 2
so 1
soontobeabandoned 1
sort 1
special 1
spencer 3
starr 1
stay 1
still 1
stories 1
story 3
stupor 1
such 1
suicide 2
suspicion 1
takes 2
taking 1
tell 1
ten 1
terry 4
than 1
that 9
the 22
their 2
then 2
there 2
they 1
thinking 1
this 1
though 1
threatened 1
three 2
tijuana 1
to 20
trance 1
tries 2
trip 1
trips 1
try 1
undermined 1
uneasy 1
up 6
visit 1
wade 16
wades 4
walk 1
want 1
war 2
was 5
when 4
who 6
why 1
wife 4
with 7
world 1
writers 1
writing 1
written 1
years 1
york 1
