620
/m/0hhy
/m/0hhy
George Orwell
1945-08-17
{"/m/016lj8": "Roman \u00e0 clef", "/m/06nbt": "Satire", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
4 1
5 1
6 1
a 21
abolishes 1
about 1
abuse 1
abuses 1
account 1
accusations 1
accuses 1
actual 1
adapt 1
added 1
adopt 1
adopting 1
after 2
against 2
alcohol 4
all 4
alliance 1
allusion 1
alter 1
alteration 1
although 1
an 7
and 34
animal 13
animalism 3
animals 23
annihilated 1
announces 2
anthem 1
any 3
appears 1
appended 1
are 13
area 1
argument 1
as 7
aside 1
assume 1
at 1
attacks 1
attempts 3
away 1
battle 1
be 3
beasts 2
become 1
becomes 1
bed 3
beds 1
been 1
begins 1
begun 1
beliefs 1
belongs 1
benefit 1
benjamin 1
best 1
better 3
between 2
blasting 1
blow 1
boar 1
bolded 1
both 1
boxer 4
breaks 1
build 1
but 4
by 3
calls 1
can 3
care 2
carry 1
cause 1
changed 1
changes 3
changing 1
chase 1
claims 1
classes 1
clear 1
clothes 2
collapses 1
command 1
commandments 9
committee 1
compares 1
congratulate 1
consorting 1
continues 1
control 2
conversation 1
convince 1
convinced 1
cost 1
could 1
country 1
credit 1
cynical 1
death 1
declares 1
demonstrates 1
despite 1
destroyed 1
dies 1
difference 1
dinner 1
do 1
dogma 1
dogs 3
donkey 1
dream 1
drink 3
drinking 1
drive 1
drunken 1
during 1
easier 1
elevate 1
employed 1
enacts 1
enemy 1
england 2
equal 6
even 1
eventually 1
every 1
evil 1
excess 2
exercise 1
explaining 1
faces 3
farm 13
farmers 2
fed 1
find 1
following 1
follows 1
food 2
for 8
formally 1
four 2
frederick 1
friend 1
from 4
futile 1
given 1
glorifying 2
goes 2
good 1
governance 1
government 1
great 1
habits 1
had 1
hands 1
harder 3
hardestworking 1
has 2
have 1
having 2
he 6
health 1
himself 1
his 7
history 2
holds 1
hospital 1
how 1
human 1
humanisation 1
humans 7
idea 1
ideas 1
important 1
imposing 1
improvement 1
in 8
including 1
indulge 1
injuries 1
into 3
invents 1
ironic 1
irresponsible 1
is 7
it 4
items 1
its 1
jones 2
justifies 1
keep 1
kill 2
killing 1
knacker 1
labouring 1
later 1
lawbreaking 1
leader 1
leadership 2
learn 1
least 1
legs 4
lifestyle 1
like 1
lives 1
look 1
major 3
makes 1
malleable 1
man 1
manor 2
many 1
match 1
maxims 1
medical 1
meeting 1
meetings 1
memories 1
more 4
most 1
mount 1
mouthpiece 1
mr 4
name 2
named 1
napoleon 19
neighbouring 2
no 10
not 1
notice 1
notices 1
numbers 1
of 29
off 1
old 4
on 4
once 1
one 2
or 1
order 2
original 2
orwell 1
ostensibly 1
other 2
others 2
out 1
overhearing 1
owner 1
parasites 1
party 1
pass 1
people 1
personal 1
philosophy 2
phrase 1
pig 2
pigs 12
pilkington 1
plans 1
plentiful 1
poker 1
political 1
poor 1
positions 1
powder 1
power 1
practices 1
prevent 1
previous 1
privately 1
privileges 1
promise 1
propaganda 1
pups 1
purchased 1
purging 1
purpose 1
read 1
reading 1
realise 1
recounts 1
reduced 1
related 1
remain 1
renaming 1
repainted 1
replaced 2
replacing 1
reports 1
rescue 1
reserving 1
restored 1
revise 1
revising 1
revision 1
revolt 1
revolution 1
revolutionary 1
rewriting 1
rival 1
run 1
runs 1
scapegoat 1
scorn 1
secretly 1
sends 1
set 1
seven 5
shall 9
sheets 2
show 1
simply 1
single 1
sleep 3
sleeping 1
smoothly 1
snowball 9
so 1
society 1
some 3
song 1
soon 1
soviet 1
special 1
squealer 8
statement 1
storm 1
structure 1
struggle 1
such 1
suggests 1
supposed 1
surgeon 1
take 1
takes 1
tale 1
teach 1
teaches 1
tell 1
than 3
that 8
the 90
their 4
them 3
themselves 4
there 1
these 1
they 5
thin 1
this 2
though 1
through 1
to 28
together 1
too 1
trading 1
traditions 1
trains 1
turn 1
turned 1
twist 1
two 3
under 1
uniting 1
until 1
up 1
upon 2
upright 1
using 2
van 3
veterinary 1
vices 1
villainising 1
violent 1
walk 1
walls 1
was 1
wear 2
well 1
were 3
whatever 2
when 3
where 1
which 3
while 2
whips 1
who 4
will 1
win 1
windmill 6
wings 1
with 11
within 1
without 1
work 1
workhorse 1
working 2
worlds 1
wounded 1
writing 2
years 1
young 2
