5566829
/m/0dsx98
/m/0dsx98
Suzanne Collins
2005-07-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 15
actually 1
adding 1
after 1
agree 2
agrees 2
all 1
an 1
and 24
announcement 1
ants 1
apartment 1
are 1
ares 2
arrives 2
arriving 1
as 3
assistance 1
at 2
athena 1
audience 1
aurora 1
away 1
back 2
bat 2
bats 1
be 5
been 2
before 2
being 1
believe 1
bitten 1
blood 1
bond 1
book 1
boots 2
but 7
by 5
cannot 1
carriers 1
carrying 1
central 1
cockroaches 1
come 2
comply 1
condition 2
confiding 1
contract 1
cormaci 1
cradle 1
cure 6
cures 1
curse 2
daughter 1
dead 1
deep 1
delegations 1
destroy 1
developed 1
did 1
does 2
eating 1
encourages 1
end 1
ends 1
enlist 1
enter 1
enters 1
entrance 1
escort 2
exposes 1
eyes 3
father 1
field 1
find 1
first 2
fits 1
fleas 2
flesh 1
flies 1
fly 1
for 3
force 1
form 1
found 1
frill 2
from 3
gathered 1
given 2
gnawers 1
go 3
goes 1
greeted 1
gregor 9
guide 1
had 2
half 1
halflanderhalf 1
hamnet 3
happened 1
have 4
hazard 1
help 1
her 1
hiding 1
him 6
his 6
hope 2
horrified 1
humans 3
hundreds 1
if 2
in 12
inform 1
informing 1
informs 1
into 1
invented 1
is 9
it 3
journey 2
jungle 1
jungles 1
keep 1
kill 2
killing 1
laboratory 1
lands 1
lapblood 1
laundry 2
leads 1
leaving 1
lend 1
let 2
lizard 1
long 1
lost 1
luxa 4
make 1
making 1
mange 2
meet 2
meeting 1
mentions 1
message 1
mice 1
military 1
mites 1
mother 6
mrs 1
named 1
nerissa 2
never 2
nike 2
no 1
normalsized 1
not 7
of 15
offhandedly 1
on 3
one 1
only 1
order 2
ordered 1
orders 1
other 1
overland 1
overlander 1
overwhelmed 1
own 1
pack 1
park 1
plague 10
plants 1
powder 1
project 1
prophecy 1
queen 1
quest 1
quicksand 1
rats 7
realize 1
realizes 1
regalia 3
regent 1
retreat 1
return 1
reveals 1
ridden 1
ripred 5
risking 1
room 2
run 1
scouring 1
scroll 1
send 1
sent 2
several 1
she 2
so 2
solovet 3
son 1
soon 1
species 1
starshade 2
still 1
such 1
surface 1
temp 2
that 13
the 51
their 3
them 2
there 2
they 5
thinks 1
this 3
thought 1
through 1
time 2
to 20
too 1
travel 1
trials 1
two 1
uncertain 1
uncle 1
underland 2
underlander 1
underneath 1
united 1
unless 2
upon 1
us 1
used 1
vain 1
victim 1
vikus 2
vineyard 3
walls 1
warmbloods 3
was 3
weapon 1
when 1
where 1
which 1
who 2
whole 1
wife 1
will 3
with 3
without 1
would 1
yellow 1
