23943737
/m/076wwmn
/m/076wwmn
Danielle Steel
2009-06
a 6
aback 1
accepts 1
all 1
alone 1
along 1
also 1
and 5
are 1
as 3
assignment 1
at 1
away 2
because 1
becomes 1
begin 1
begins 1
but 2
chic 1
christmas 1
content 1
deal 1
didnt 1
dies 1
divorced 1
dunne 1
estate 1
exhusband 1
expected 1
expects 1
fall 2
famous 1
fears 1
finds 1
finn 5
from 2
have 1
he 3
heart 1
her 7
him 1
his 2
home 1
hope 6
hurt 1
illness 1
in 4
irish 1
is 3
lies 1
life 2
lives 1
loft 1
london 1
love 3
loves 1
madly 1
matters 1
miles 1
much 1
never 1
noone 1
not 1
of 2
oneill 1
only 1
palatial 1
paul 2
photograph 1
photographer 1
pull 1
retired 1
romance 1
scared 1
she 5
slowly 1
so 1
soho 1
soon 1
source 1
support 1
surgeondivorced 1
taken 1
that 1
the 2
they 1
though 1
to 8
top 1
tries 1
unnerve 1
very 1
want 1
what 1
when 1
whisking 1
windswept 1
with 7
world 1
writer 1
