27143483
/m/0bwj6bg
/m/0bwj6bg
Brian Lumley
1992
3 1
40 1
5 1
a 18
about 1
across 1
affections 1
after 2
against 1
aggravated 1
ago 1
al 1
all 1
allowing 1
allows 1
alone 1
along 1
also 4
among 2
an 2
ancients 1
and 38
another 1
answered 1
are 3
around 2
as 3
attack 2
attacked 1
attacks 1
aware 1
away 1
back 3
battle 1
be 1
because 1
become 1
becomes 3
been 1
before 1
believing 3
between 1
bolt 1
books 1
boys 4
brisk 1
broken 1
brother 2
but 2
by 14
call 1
certain 1
choose 1
choosing 1
close 1
colony 1
colours 1
command 2
communicating 1
companion 1
conduit 1
contraptions 1
covers 1
crashes 1
crossbow 1
damaged 1
dead 6
deadspawn 1
deadspeak 1
demeanour 1
desert 2
designed 1
destitute 1
destroyed 1
deteriorates 1
die 1
discovered 1
does 1
down 1
dreams 1
due 2
duel 1
dweller 2
dwellers 1
east 2
egg 1
elder 1
ends 3
enemy 1
enraged 1
escapes 1
especially 1
eventually 2
exiled 1
famous 1
far 1
fathered 1
female 1
fight 1
fighting 1
find 2
finds 1
fired 1
flee 1
flyer 2
for 5
forced 1
forgotten 1
form 1
found 1
free 1
friends 2
from 4
garden 1
gate 1
girl 3
goes 1
graves 1
group 2
grow 2
growing 1
guards 1
guides 1
harry 2
have 4
he 8
head 1
help 3
hidden 1
hills 1
him 5
his 12
home 1
human 1
immediately 1
in 19
injured 2
injury 1
instead 1
intelligence 1
intervention 1
into 3
intrigued 1
inventions 1
is 13
it 1
jason 1
journeys 1
karen 1
keep 1
keeping 1
keogh 2
kiklu 1
killglance 2
known 1
ladies 1
lady 2
land 1
lardis 2
learn 1
learning 2
led 1
leper 1
lidesci 3
lieutenant 1
life 1
living 1
long 2
lord 5
lords 2
lost 1
loved 1
mage 1
maglore 3
making 1
manse 2
many 4
marries 1
meets 1
memory 1
mentalism 1
mind 2
misha 5
months 1
mother 3
named 2
nana 1
nathan 13
nathans 1
near 1
necroscope 2
nestor 4
nestors 3
new 1
nightmares 1
not 2
now 1
number 1
of 22
old 2
older 1
on 3
once 1
ones 1
or 2
orders 1
orlea 1
out 1
outposts 1
over 1
part 4
people 1
perchorsk 1
pet 1
place 1
powers 1
previously 1
put 1
ravaging 1
ready 1
reasons 1
recovering 1
relatationship 1
resting 1
return 1
reunited 1
reuniting 1
revealed 1
rewarded 1
risen 1
rivals 1
rogei 1
senses 1
settled 1
settlement 2
settling 1
shunned 1
similar 1
six 1
skirmish 1
some 1
sometimes 1
son 2
sons 1
source 1
spends 1
starside 1
starsidesunside 2
stopped 1
suck 1
suffer 1
sunside 1
supplicant 2
system 1
szgany 11
take 1
taken 4
talk 2
teach 1
telepathic 1
telepathy 1
telling 1
that 3
the 64
their 9
them 3
then 1
there 1
they 6
this 1
thoughts 1
three 1
through 1
thrown 1
thyre 6
time 2
tired 1
tithe 2
to 19
town 1
towns 3
traveling 1
travelling 1
tribe 1
tribes 1
turgo 1
turgosheim 7
two 2
uncles 1
under 2
underground 2
unknowingly 1
unknown 1
unprepared 1
unsleep 1
untouched 1
up 5
upon 1
use 1
used 1
using 1
vampires 2
vampirise 1
vasagi 3
village 2
visit 1
volunteers 1
vormulac 1
wamphyri 11
wampnyri 2
want 1
wanting 1
we 1
weary 1
west 2
western 1
where 4
whereas 1
while 4
whispering 1
who 1
wild 1
win 1
with 10
witnessing 1
wolf 1
wolves 1
woman 1
world 1
worn 1
wran 2
wratha 2
wrathas 1
zahar 2
zolte 1
