3910776
/m/0b6dyy
/m/0b6dyy
Jack Vance
1966
174 1
183 1
a 10
after 1
agrees 1
alien 2
already 1
an 4
and 9
arduous 1
as 2
attached 1
attempt 1
author 1
authorized 1
back 1
banish 1
barbs 1
been 1
before 1
behalf 1
being 1
book 1
books 1
burglary 1
but 2
by 5
captured 1
caught 1
cause 1
come 1
cugel 10
cursing 1
cutz 2
daw 1
delivering 1
demon 2
easily 1
easy 1
encourage 1
enjoy 1
entire 1
entity 1
escapes 2
etc 1
eviction 1
exchange 1
extirpate 1
eye 2
feast 1
fianosther 2
finds 2
firx 3
flying 2
for 2
forms 1
freedom 1
from 3
gains 1
glass 1
glasses 1
grand 1
gruel 1
had 1
harrowing 1
has 2
he 5
hemisphere 1
him 3
himself 1
his 4
hooks 1
hopes 1
hut 1
in 6
incantation 1
including 1
instead 1
is 4
iucounu 5
land 1
laughing 1
lenses 2
lenswearers 1
life 1
liver 1
loyalty 1
magician 4
magnificent 1
manages 1
manse 3
many 1
match 1
merchant 1
michael 1
named 1
not 1
ny 1
occupied 1
of 14
on 3
one 2
other 1
overworld 2
own 1
palace 1
part 1
peasants 1
persuaded 1
pilfer 1
pitfalls 1
possession 1
principal 1
promoted 1
published 1
purpose 1
quest 1
ranks 1
reality 1
recovery 1
remote 1
returns 1
rosecolored 1
saga 1
same 2
scale 1
see 1
seeing 1
seizes 1
sentient 1
sequel 2
setbacks 1
shea 1
simbilis 1
singleness 1
slips 1
small 2
spell 2
spot 1
squalid 1
subdue 1
superior 1
surroundings 1
system 1
that 2
the 29
their 3
then 1
there 1
this 1
through 1
to 15
tongue 1
transport 1
trapped 1
trek 1
trickery 1
tries 1
twin 1
two 1
undertake 1
undertakes 1
unremitting 1
until 1
used 1
uses 1
uttering 1
vance 1
vastly 1
version 1
via 1
villages 1
violet 2
volition 1
was 1
way 1
wearers 2
where 2
who 2
will 1
with 1
wizard 2
work 1
world 1
wrote 1
zeal 1
