16320493
/m/03wgvx_
/m/03wgvx_
George Eliot
1857
1788 2
1820s 1
a 22
about 2
abusive 1
accept 2
accepting 1
accommodation 1
acquainted 1
affection 1
afterwards 3
against 2
ago 1
air 1
alcohol 1
all 1
alone 1
already 1
also 1
amateur 1
an 6
and 46
anew 1
anthony 1
appointment 1
are 1
as 8
asks 1
assher 3
asshers 1
assume 1
at 9
attempts 1
aware 1
away 1
baby 1
bad 1
bandied 1
barton 11
based 1
bath 1
be 4
beatrice 1
become 1
becomes 1
beginning 1
begins 1
believes 1
better 1
between 1
biased 1
birth 1
bringing 1
brother 1
brotherinlaw 1
burden 1
but 7
by 4
campaign 1
cant 1
capacity 1
captain 1
care 2
caroline 1
carpe 1
caterina 2
cause 1
causing 1
central 1
changed 1
chapel 1
chaplain 1
character 1
charged 1
cheverel 6
childbirth 1
children 2
choice 1
christian 1
christopher 5
church 3
churchyard 1
clergyman 1
clerical 2
coffin 1
combined 1
come 2
committed 1
common 1
companion 1
compassion 1
complaint 1
compliant 1
comply 1
concerns 2
concludes 1
congregation 3
consecrated 1
consider 1
consumption 1
continues 3
contributing 1
conversion 1
convinces 1
countess 5
crewe 2
curate 3
czerlaski 1
daughter 1
daughters 1
death 4
declining 1
deeply 2
dempster 4
dependence 1
despite 1
develop 1
devotion 1
die 1
dies 6
disagreement 1
disapproval 1
discovering 1
disheartened 1
dissenter 1
distant 1
divided 1
doctrinal 1
drink 1
drives 1
drunkenly 1
ease 1
edgar 1
employee 1
encounter 1
encourages 1
endue 1
engaged 1
engineer 1
england 1
ensure 1
entitled 1
equally 1
especially 1
evangelical 1
experiences 1
fact 2
fall 1
family 4
father 2
favour 1
fear 1
fears 1
feeling 1
feels 1
few 1
finding 1
firmly 1
flirt 1
flock 1
following 5
for 6
forgiving 1
former 2
frequently 1
from 2
get 1
gets 1
gig 1
gilfil 9
given 1
goes 1
gone 1
grave 1
great 1
grief 1
grown 1
guide 1
had 2
haggard 1
happened 1
hard 1
has 8
have 1
having 2
he 12
headed 1
health 1
heart 1
heir 1
help 1
helps 1
her 25
herself 1
him 15
himself 1
hinted 1
his 30
home 4
hoped 1
hospitality 1
house 2
however 5
husband 3
hypocrisy 1
ideas 1
ill 1
illness 1
imbue 1
important 1
in 25
inadequate 1
infatuated 1
inform 1
inherited 1
inhospitable 1
injured 1
intends 1
intentions 1
intervening 1
into 4
introduced 1
invited 1
is 27
it 5
italian 1
itself 1
janet 4
jests 1
june 1
just 1
keep 1
killed 1
knife 1
knowing 1
known 1
lady 3
last 1
late 1
later 2
lawyer 1
leave 2
leaves 1
leaving 1
length 1
life 5
lightly 1
little 1
live 1
lives 1
living 1
lonely 1
looked 1
loss 1
love 4
lovestory 1
maid 1
malicious 1
man 2
manor 3
manufacturing 1
marriage 1
married 1
marries 1
marry 2
maynard 1
men 1
mentioned 1
might 2
milby 3
milly 5
minister 1
miss 3
mistress 1
more 1
mother 1
motherhood 1
move 2
mr 9
much 3
named 1
near 1
needy 1
neighbour 1
nephew 1
new 4
newcomer 1
news 1
night 1
no 2
nonetheless 1
not 2
notice 1
now 2
nurse 1
nurses 1
obtains 1
of 38
old 1
on 7
one 4
only 1
opponents 1
opposition 1
order 1
orphan 1
orthodox 1
other 1
out 4
over 1
paddiford 1
pale 1
parish 2
parishioners 3
part 2
particularly 1
party 1
pastor 1
patty 2
persuades 1
pious 1
pity 1
plunged 1
practice 1
preexisting 1
pregnant 1
premature 1
press 1
presumably 1
profession 1
protest 1
reciprocated 1
reciprocates 1
recover 1
redemption 1
refuge 2
relationship 1
relies 1
religious 3
remains 2
remembering 1
repentance 1
request 1
resigns 1
respectful 1
rest 1
returns 3
reverend 1
richard 1
robert 2
romantic 1
runs 1
sadly 1
sadness 1
sarti 1
saw 1
scenes 2
search 1
second 1
see 1
seeks 1
sees 1
selfless 1
selfsufficiency 1
separate 1
seriously 1
set 1
she 13
shepperton 3
shortly 1
shown 1
sickbed 1
sin 1
singer 1
sir 5
sixmonths 1
so 2
son 1
soon 1
sorrow 1
standing 1
stems 1
stipend 1
story 3
stress 1
stretched 1
strife 1
struck 1
struggle 1
subject 1
subscribes 1
subsequent 1
subsequently 1
succumbs 1
suffering 1
suicide 1
suit 1
support 1
supports 2
suspicion 1
sweetheart 1
sympathies 1
taken 2
takes 1
taking 1
talent 1
talented 1
terms 1
than 1
that 14
the 60
their 8
them 3
then 1
there 1
they 2
thirty 1
this 1
through 1
thrown 1
tina 7
titular 1
to 45
toll 1
took 1
toward 1
town 2
tryan 6
turn 2
turns 1
twenty 1
two 1
uncle 1
unexpectedly 1
unfair 1
unkind 1
unpopular 1
unsuited 1
unsympathetic 1
until 2
up 1
upon 1
variously 1
vicar 3
views 1
vigorously 1
village 2
vulgar 1
ward 1
was 3
ways 1
we 1
weeks 1
were 2
what 2
when 2
where 1
which 3
who 6
whom 1
wife 6
will 3
with 19
within 1
women 1
won 1
work 3
wybrow 5
years 4
young 1
youth 1
zest 1
