14532845
/m/03d6p9x
/m/03d6p9x
Jo Walton
2006-08-08
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 16
ability 1
accepts 1
acquiescing 1
act 1
admission 1
affair 2
after 1
agnes 2
alan 1
along 1
an 9
and 9
angela 6
announces 1
apartment 1
approached 1
are 1
arrest 4
as 6
assembled 1
at 7
atmosphere 1
attack 1
attacked 1
attendance 1
attention 1
aware 1
baby 1
banning 1
be 1
become 1
been 1
before 1
begins 1
being 1
between 1
blackmail 1
blame 1
body 2
both 1
brown 3
by 6
cabinet 2
calls 1
card 2
cards 1
carmichael 16
case 2
chafing 1
chauffeur 1
chest 1
claiming 1
communist 1
communists 1
conclude 1
considered 1
conspiracy 1
conviction 1
convinced 1
convinces 1
country 1
daphne 2
daughter 1
david 9
delay 1
description 1
different 1
discover 1
discovering 1
discovers 1
divert 1
drop 1
effective 1
election 1
emerges 1
equally 1
escape 1
estate 1
eversley 4
evidence 1
exploiting 1
expulsion 1
falls 1
family 1
farthing 4
father 1
findings 1
for 3
foreign 2
found 1
friday 1
from 4
further 1
general 1
girlfriend 1
given 1
giving 1
go 1
goes 1
grows 1
guests 3
guilt 1
hampered 1
hampshire 1
has 1
having 1
he 2
head 1
helped 1
her 4
him 3
his 7
homosexuality 1
house 5
however 1
husband 2
id 1
identifying 2
identity 2
immediately 1
in 8
incident 2
inspection 1
inspector 1
interview 2
into 1
introduction 1
investigate 1
investigation 2
investigator 1
invited 1
involvement 2
is 7
issued 1
it 1
james 1
jew 1
jewish 1
jews 1
joke 1
kahn 4
kahns 3
killed 1
large 1
lead 1
leading 1
learns 1
letters 1
likely 2
listening 1
locating 1
london 3
lord 4
lucy 2
man 1
mark 2
mean 1
members 1
membership 1
minister 2
mother 1
murder 6
murdered 2
name 1
named 1
nationals 1
newlypregnant 1
normanby 4
not 1
notes 1
now 2
of 17
offer 2
official 1
on 5
one 2
only 1
oppressive 1
orders 1
organization 1
ostensibly 1
other 1
out 1
owner 1
party 3
pennbarkis 2
peter 1
pinned 1
place 1
placed 1
police 1
political 2
politician 1
presents 1
pressure 2
prime 1
prominent 1
purchased 1
pursues 1
puzzled 1
recounts 1
release 1
remain 2
requests 1
resisting 1
result 1
returning 3
riding 1
rifle 1
room 1
royston 2
run 1
scotland 2
search 1
secretary 1
seems 1
sent 1
sergeant 1
set 1
she 1
shooting 1
shoots 1
shuffle 2
sir 1
sister 1
situation 1
skeptical 1
someone 1
sought 1
southendonsea 1
stage 1
star 3
still 1
story 1
supervision 1
suspects 2
suspicion 1
tension 1
that 10
the 45
them 2
there 1
they 2
thirke 10
thirkie 1
though 2
three 1
time 1
timms 2
to 29
towards 1
travels 1
turns 1
unconnected 1
unconvinced 1
uncovers 1
undaunted 1
under 1
underground 1
until 1
up 1
upcoming 1
upon 1
using 1
wales 1
warn 1
warrant 1
was 6
weekend 1
whereupon 1
which 1
while 2
who 6
wife 2
will 1
with 9
woman 1
yard 2
yellow 2
yet 1
young 2
