24321367
/m/07s5r49
/m/07s5r49
Buket Uzuner

87 1
a 4
afife 1
agenda 1
along 1
an 1
anas 1
and 2
arc 1
at 1
be 1
cartographer 1
city 1
claiming 1
descendent 1
descendents 1
director 1
dr 1
edvard 1
encounters 1
falls 1
french 1
gary 1
geniuses 1
grieg 1
gunnar 1
has 1
however 1
iconoclastic 1
in 3
including 1
international 1
invited 1
is 2
joan 1
love 1
man 1
mysterious 1
nehru 1
nin 1
novelist 1
of 4
other 2
ottomanturkish 1
part 1
piri 2
prodigy 1
reis 1
retreat 3
revealed 1
romain 1
scandinavian 1
secret 1
selects 1
she 2
slowly 1
sponsored 1
take 1
that 1
the 5
to 2
turkish 1
un 1
unnamed 1
whom 1
with 2
