16706128
/m/03h25hg
/m/03h25hg
Jeffrey Archer
2008-03-06
20 1
22 1
50 1
a 10
able 1
accosted 1
actor 2
affairs 1
after 1
agent 1
al 2
albert 1
alex 3
all 2
along 1
an 1
and 21
another 1
appeal 3
are 2
aristocrat 1
arrested 1
as 2
at 2
attempt 1
barrister 3
battle 1
be 4
before 1
begins 2
belmarsh 2
bernie 4
beth 4
between 1
bid 1
big 2
blamed 1
breaks 1
brother 1
brought 1
but 3
by 4
called 1
cartwright 2
caught 1
celebrate 1
child 1
childhood 1
clear 1
cleared 1
clearing 1
closer 1
complete 1
confronted 1
convicted 1
counsel 1
court 1
craig 2
crann 1
custody 1
dann 1
danny 17
daughter 2
death 1
decides 1
denied 1
dies 1
dollars 1
dress 1
encounters 1
escape 1
estate 1
evidence 2
ex 1
expose 1
family 1
father 1
fellow 1
fight 1
finds 1
follows 1
for 5
four 3
fracas 1
framed 1
freedom 2
freeing 1
friend 4
friends 3
friendship 1
gains 1
gather 1
getting 1
given 1
goals 1
godfather 1
grows 1
hard 1
has 1
hated 1
he 7
held 1
help 2
her 2
high 1
highest 1
him 1
himself 2
his 19
honour 1
hope 1
hugo 1
in 11
individuals 1
inmate 1
intervention 1
involved 1
is 11
it 2
jail 1
judge 1
justice 1
kingdom 1
known 1
lawyer 1
leads 1
leave 1
leaves 1
legal 1
lengthy 1
like 1
live 1
london 1
made 1
male 1
meanwhile 1
million 2
moncrieff 1
murder 2
murdered 1
must 2
name 3
nearby 1
new 1
nicholas 5
nick 2
of 10
on 1
one 1
out 4
outside 2
over 1
people 1
plans 1
plot 1
popular 1
possession 1
pounds 1
pregnant 1
present 1
pretends 1
prison 4
prisoners 1
proposing 1
pub 4
pursuing 1
qc 2
read 1
redmayne 1
revenge 1
security 1
seen 1
sentence 1
sentenced 1
serve 1
sir 2
slowly 1
so 1
sort 1
southeast 1
spencer 3
stabbed 1
subsequent 1
suicide 1
sweetheart 1
takes 1
taking 1
teaches 1
that 4
the 17
their 1
them 2
they 1
thought 1
timely 1
title 1
to 16
two 1
unable 1
uncle 1
united 1
upcoming 1
upon 1
was 1
wellorchestrated 1
which 1
while 1
who 1
will 2
wilson 1
with 5
without 1
work 1
write 1
years 1
young 2
