13737962
/m/03cgqc2
/m/03cgqc2
Francine Rivers
1991
10 1
16yearold 1
1835 1
a 70
abilities 1
able 3
abort 2
about 3
absence 1
actions 1
acts 1
admits 2
adulterous 1
advantage 1
affair 1
after 11
again 8
age 1
ages 1
agrees 4
alex 4
alienated 1
all 4
alley 1
allowed 1
almost 1
alone 1
along 3
also 2
altman 2
amazed 1
an 5
and 72
angel 57
anger 1
angers 1
another 2
any 4
apart 1
are 4
arrangement 1
arrival 1
arrives 1
as 12
asks 2
assumes 1
at 14
attend 1
awaits 1
away 5
awed 1
axle 4
axleand 1
back 10
badly 1
banker 1
bar 2
barely 2
barren 1
be 5
beating 1
beautiful 1
because 5
become 2
becomes 1
becoming 1
bedroom 1
been 1
before 2
befriends 1
begins 5
begrudgingly 1
begun 1
behind 1
being 3
believes 2
believing 1
bereft 1
better 1
between 2
bible 1
bid 1
blind 1
boarding 1
boards 1
body 1
bodyguard 1
both 1
bound 1
break 1
brings 1
broken 1
brothel 5
brotherinlaw 1
brutal 1
built 1
burned 1
burns 1
busy 1
but 16
by 16
cabin 4
cafe 2
california 1
called 1
callous 1
came 2
can 4
cannot 3
care 2
cares 1
cause 1
causing 1
charge 1
child 3
children 5
christ 1
christian 1
church 1
cleo 5
client 2
close 2
clothes 1
cold 2
coldness 1
come 3
comes 1
command 2
companion 2
companions 1
compassion 1
comprehend 1
conclusion 1
confronts 1
confused 1
conscious 1
constantly 1
contempt 2
contemptuous 1
continually 1
continued 1
continues 1
convincing 1
cook 1
could 1
couple 1
cries 1
crowd 3
crushed 1
crying 1
currency 1
daughter 5
day 4
days 1
dead 1
dearest 1
deceived 1
decides 1
decision 2
declares 1
deep 1
denies 1
desert 1
despite 1
destroy 1
determined 1
devastated 1
develop 2
did 1
disconnected 1
discouraged 1
discovers 2
disembarks 1
disgusted 1
dissuade 1
dissuaded 1
do 2
docks 1
doctor 1
does 3
door 1
doorway 1
down 2
dreamed 1
drunk 2
drunken 2
duchess 4
duke 13
dumped 1
during 1
duties 1
earnings 1
effect 1
eight 1
else 1
emotions 1
employed 1
end 2
ends 1
endures 1
england 1
ensure 1
entertain 1
epilogue 1
escape 3
escapes 1
escorts 1
even 2
eventually 2
ever 2
exclusive 1
excuses 1
expected 1
experience 2
experiences 1
exterior 1
eyes 1
faithful 1
falls 1
familiar 1
family 4
fancy 1
father 3
fear 2
fearing 1
fee 2
feeling 1
feelings 4
feels 3
feet 1
fellow 1
few 1
field 2
fights 1
filled 1
finally 5
find 2
finds 3
finger 1
finishes 2
fire 1
first 4
five 1
fix 1
flashback 1
flew 1
fond 1
for 30
forced 1
forgets 1
forgiving 1
four 1
francisco 4
friend 1
frightened 2
frightens 1
from 12
front 2
fruitless 1
frustrated 1
full 1
furious 2
gentle 1
genuine 1
get 2
gets 1
getting 1
girl 2
girls 3
give 3
given 1
gives 2
go 6
god 11
goes 4
gold 1
good 1
got 1
grace 1
grayhaired 1
greeted 1
greeting 1
grief 1
grieved 1
grows 2
guarded 1
guilt 1
guilty 1
had 5
halfdrunk 1
hall 1
hanged 1
harbors 1
hard 2
harshness 1
has 9
have 13
having 1
he 42
heals 1
health 1
hears 1
heart 1
heartbroken 1
heavens 1
heed 1
help 1
helping 1
helps 2
her 85
herself 4
high 1
highpriced 2
him 15
himself 1
his 23
hochschild 1
home 3
hope 2
hopes 5
hosea 1
house 4
household 1
how 1
however 3
humility 1
hurt 2
husband 1
i 1
idea 1
if 3
ignore 1
illness 1
immediately 1
in 40
informs 1
infuriated 1
insists 3
instead 3
instructed 1
internally 1
into 2
invites 1
is 58
it 11
job 1
jonathan 2
joseph 2
joy 1
jumps 1
just 1
justified 1
keeps 2
kept 1
kind 1
kneeling 1
knowing 4
known 1
knows 1
land 1
last 3
later 7
lays 1
learn 1
learning 1
learns 2
leave 5
leaves 3
leaving 2
left 2
lesson 1
life 5
like 1
liking 1
ling 1
little 2
livid 1
living 3
loathes 1
longer 3
longs 1
look 1
looking 2
losing 1
love 8
lovers 1
loves 2
lucky 3
lust 1
mae 7
magowan 2
mai 1
maid 1
make 4
makes 1
making 2
male 1
man 12
manage 1
manjonathan 1
many 1
married 2
marry 7
mask 1
master 3
meager 1
means 2
meant 1
meanwhile 3
measures 1
meet 2
meets 2
men 4
met 2
michael 47
might 1
mind 1
minutes 1
miriam 13
mistress 2
months 1
more 4
mother 4
move 1
moves 1
mrs 1
much 1
mumbling 1
name 3
named 1
nearby 1
needs 1
neighborhood 1
never 2
new 6
next 1
night 3
nights 1
no 3
not 10
nothing 2
nowhere 1
nurses 1
obeys 1
observing 1
of 52
off 1
offer 1
offered 1
often 1
old 3
oldest 2
on 12
once 4
one 5
only 6
or 2
order 1
other 4
out 6
outside 1
over 1
owed 1
own 2
owner 1
pain 1
pair 1
pairadice 6
palace 4
panning 1
passengers 1
past 1
paul 15
pays 3
pedophile 1
perfect 1
place 1
plan 1
pleasure 1
popular 1
possessions 1
pots 1
power 1
prays 1
preference 1
pregnant 2
prepared 1
presentation 1
presented 1
preserve 1
private 1
produce 2
product 1
profession 1
profound 1
promise 1
prospective 1
prostitute 10
prostitutes 1
prostitution 2
pure 1
questions 1
rab 7
reaching 1
real 1
reasoning 1
reassures 1
receives 2
recognizes 2
refused 1
refuses 3
regularly 1
rejection 1
rejects 1
relies 1
remaining 1
remains 1
renames 1
replace 1
reprimands 1
reputation 1
rescues 1
respected 1
resume 1
return 3
returning 1
returns 2
revealed 1
reveals 5
revelation 1
revenge 1
rich 1
ride 1
rift 2
ring 1
rising 1
road 1
robbed 1
rock 1
room 1
run 2
runs 3
sacramento 2
said 1
saloononce 1
same 1
san 4
sarah 20
sarcastic 2
saved 1
savings 1
says 2
scouring 1
second 1
see 6
seeing 2
seeks 1
seem 1
seems 1
seen 1
sees 5
sell 2
sells 1
sends 1
sense 1
serves 1
sevenyearold 1
sex 4
sexual 1
shack 1
shame 1
share 1
she 59
ship 1
shock 1
shocked 2
shore 1
should 1
showing 1
side 1
sierras 1
sing 1
singing 2
single 1
sings 1
sister 1
skills 1
sleep 1
slept 1
small 1
so 5
softened 1
softhearted 1
solace 1
solid 1
son 1
song 1
spite 1
stafford 2
stage 2
standing 1
start 1
startled 1
starts 4
stay 1
staying 1
stays 1
still 6
store 3
story 1
stranded 1
stranger 1
strangled 1
street 1
stubbornly 1
stupor 1
successive 1
succumbs 1
suffer 1
sunrise 1
surprises 1
susanna 2
suspicious 1
swamped 1
take 5
taken 1
takes 8
taking 1
talking 2
teach 1
tears 1
tell 1
telling 1
tells 3
terrible 1
than 2
that 47
the 106
their 8
them 12
then 2
there 2
they 16
things 1
thinking 1
thinks 3
this 9
though 2
thoughts 1
threatens 1
three 2
through 2
time 7
times 1
to 101
together 3
tolerant 1
towards 1
town 2
townspeople 1
treated 1
treats 1
tries 3
trip 2
turn 1
twice 1
two 3
unable 1
uncertainty 1
uncleanness 1
unconditionally 1
under 1
unfaithfulness 1
unsure 1
until 2
up 7
upon 4
upstairs 1
urged 1
urges 1
use 1
using 1
valley 2
very 2
virgil 2
visit 1
voice 1
voiceit 1
wagon 2
wait 2
waiting 2
waits 1
want 3
wanting 1
wants 2
was 5
way 7
ways 1
wealthy 3
wearing 1
wedding 1
week 1
welcomes 1
well 1
wellknown 1
what 3
wheel 1
when 10
where 6
which 2
while 5
who 11
whole 1
whom 1
whore 1
why 1
widower 1
wife 2
will 6
willing 1
wishes 1
with 44
woman 6
words 2
work 4
working 3
works 1
world 1
worth 1
worthy 1
would 3
wounds 1
wrestle 1
year 1
years 3
you 1
young 4
