25423833
/m/09k64s5
/m/09k64s5
Robin Hardy
1978-05
a 2
additional 2
allan 1
also 2
ambivalent 1
an 1
and 4
arguments 2
as 2
associated 1
attempted 1
audience 1
backstory 1
bannock 1
battle 1
become 1
been 2
being 1
birdwatching 1
brown 1
burnt 1
but 3
by 1
casting 1
character 1
christopher 1
closely 1
consider 1
cut 1
daunted 1
day 1
death 1
detail 1
did 1
difficult 1
does 1
end 1
ended 1
ending 1
envisioned 1
epilogue 1
episcopalianism 1
example 1
expands 2
explored 1
faith 1
features 1
fiance 1
film 8
fit 1
follows 1
for 3
gillie 1
greater 1
had 1
have 4
he 2
highlands 1
his 2
howie 6
impact 1
in 9
include 1
incorporating 1
initially 1
inside 1
interest 1
is 5
it 2
keeping 1
landscape 1
learns 1
lee 1
lord 3
loss 1
made 1
man 2
many 1
mary 1
material 1
may 2
minority 1
moral 1
more 4
negative 1
neil 1
new 1
not 1
novel 5
novelisation 2
of 8
offering 1
on 1
or 1
original 1
originally 2
perhaps 1
plot 1
preaching 1
presbyterian 1
priest 1
prospect 1
reader 1
reduce 1
relationship 1
restored 1
reveals 1
roles 1
running 1
sacrificial 1
scene 1
scenes 1
scottish 1
seaplane 1
seen 1
sergeant 1
seriously 1
shaffer 1
shot 1
since 1
some 1
somehow 1
spotted 1
staunchly 1
story 1
suggesting 1
summerisle 3
survived 1
than 1
that 5
the 28
they 1
this 1
time 1
to 5
treacherous 1
trust 1
unable 1
unsettling 1
upon 2
villainous 1
was 1
were 2
where 1
while 1
who 1
wicker 2
with 5
would 1
writes 1
