16452006
/m/0c24mv
/m/0c24mv
Alex Sanchez
2001-10
{"/m/03mfnf": "Young adult literature"}
a 3
about 1
after 1
afterwards 1
alternating 1
always 1
an 2
and 6
argument 1
at 1
attend 1
become 1
becomes 1
begin 1
between 1
bond 1
brick 1
but 1
carrillo 1
chapters 1
claims 1
class 1
classmates 1
close 1
clown 1
coming 1
conflicting 1
contracted 1
crush 1
decides 3
different 1
does 1
expect 1
families 1
father 1
fears 1
feelings 2
finds 1
first 1
flamboyant 1
follows 1
for 3
friends 2
gay 1
getting 1
glassman 1
had 1
has 4
have 1
he 6
help 1
heterosexuality 1
high 2
himself 1
his 5
hiv 1
hivpositive 1
homosexuality 1
hook 1
in 1
into 1
is 1
it 1
jason 3
jeremy 1
jock 1
known 1
kyle 5
leads 1
lives 1
math 1
meeks 1
meeting 2
more 1
mostlycloseted 1
mother 1
named 1
nelson 2
not 1
of 3
on 1
online 1
out 1
over 1
overlapping 1
past 1
points 1
questioning 1
rarely 1
relationship 2
revealed 1
school 2
see 1
sees 1
seniors 1
sex 1
shared 1
story 1
stranger 1
swimmer 1
than 1
that 1
the 9
their 4
them 1
they 2
three 2
time 1
to 7
towards 2
tutor 1
up 1
very 1
view 1
which 1
who 1
with 4
years 1
youth 1
