1022221
/m/03_1yf
/m/03_1yf
Dan Brown
2001
a 22
aboard 1
abolish 2
about 3
advisor 1
airlifted 1
all 1
also 1
american 1
an 5
analyst 1
and 22
arctic 2
are 4
area 1
arrives 1
as 5
asking 1
astrophysicist 1
at 7
attack 2
attacked 1
attempts 1
authenticate 1
authenticity 2
away 1
be 5
becoming 1
been 1
believes 2
beneath 1
body 1
boss 2
bottom 4
brilliant 1
but 3
by 8
campaign 2
candidate 1
chance 1
change 1
charlotte 1
chopper 1
civilian 2
claims 1
closed 1
coast 1
collection 1
column 1
comes 1
commander 2
confirm 1
confirms 1
conspiracy 1
corky 2
corporations 1
costs 1
cover 1
creating 1
daughter 1
dead 2
deep 1
delta 7
dense 2
density 1
designed 1
developed 2
direct 1
director 1
discover 1
discovering 1
discovers 1
discovery 4
dismantled 1
distance 1
drilled 1
drowns 1
due 1
earth 2
eccentric 1
election 1
eliminated 1
ellesmere 1
emerging 1
end 1
ensure 1
eos 1
escape 1
escorts 1
event 1
eventually 1
evidence 1
example 1
existent 1
experts 1
exploration 1
extracted 1
extraterrestrial 1
extremely 1
eyes 1
failures 2
fake 2
falls 1
famous 1
father 3
fax 2
few 1
find 1
findings 1
finish 1
for 8
force 7
fossils 1
found 1
foundation 1
four 3
freshwater 1
from 6
frontier 1
frozen 1
funding 1
further 1
gain 1
get 1
glacier 1
glaciologist 1
globe 1
go 1
government 1
gun 1
has 3
have 2
he 9
heat 1
helicopter 4
hellfire 1
help 1
her 4
herney 2
him 1
his 5
however 2
hurt 1
ice 4
if 1
ignites 1
implied 1
in 13
incriminating 1
incumbent 2
insect 1
instead 1
intelligence 1
intense 1
interests 1
into 3
irregularity 2
is 16
island 1
it 4
jersey 1
job 1
justifiable 1
kill 3
killed 1
largescale 1
leading 1
leaving 2
life 1
light 2
machine 1
made 1
magma 1
manage 1
mangor 3
many 1
marlinson 4
masterminded 1
message 2
meteorite 9
michael 2
microbots 1
milne 2
ming 3
missiles 1
monitoring 2
more 1
motivations 1
motive 2
motives 1
murder 1
nasa 12
national 1
navy 1
needed 1
needs 1
new 2
norah 2
not 3
nro 3
observation 1
observes 1
observing 1
obtain 1
oceanographer 1
of 21
off 4
office 1
on 3
only 1
operated 1
orbiting 1
order 1
outside 1
overspending 1
palaeontologist 1
part 3
people 1
personality 1
personally 1
picked 1
pickering 9
pit 2
plot 2
plume 1
pods 1
polar 1
popular 1
possibly 1
president 10
presidential 1
prickly 1
private 1
problem 1
profit 1
proof 1
protecting 1
public 2
rachel 10
reaches 1
reads 1
realized 1
reason 1
recent 1
reconnaissance 1
relationship 1
report 1
reputation 1
revealed 1
revealing 1
romantic 1
sacrificing 1
same 1
sample 1
satellites 1
save 1
saying 1
says 1
scan 2
scanner 1
schools 1
scientists 2
sea 4
second 1
securing 1
sedgewick 1
see 1
sees 1
selfdefense 1
senator 6
sends 3
sent 2
sexton 10
shares 1
shelf 2
ship 4
shoots 1
should 1
shows 1
signs 1
similar 1
sinking 1
site 1
slides 1
so 1
solely 1
solving 1
something 1
soon 1
space 2
species 1
spot 2
squad 2
staff 1
states 1
still 1
story 1
sub 1
submarine 1
subsequent 1
sucked 1
support 1
surprised 1
system 1
tarnished 1
team 6
tearing 1
tell 1
tells 1
term 1
than 1
that 13
the 86
their 2
them 5
then 1
there 1
these 1
they 4
this 4
three 1
to 35
together 1
tolland 5
toward 1
true 2
truth 1
tv 1
ulterior 1
unaware 1
united 1
unknown 1
up 3
upcoming 1
upon 1
uses 1
uss 1
verify 2
very 2
via 1
vortex 2
wailee 1
wanting 1
wants 1
was 2
water 4
way 1
what 1
when 2
where 2
which 2
who 3
will 1
william 1
wish 1
with 4
within 2
work 2
works 1
would 2
wreck 1
zachary 2
