16982821
/m/0414f_t
/m/0414f_t
Karen Miller
2007-06-01
{"/m/01hmnh": "Fantasy"}
a 4
abajai 3
along 1
an 1
and 9
army 1
as 1
away 2
be 3
beats 1
beautiful 1
because 1
begins 2
better 1
birth 1
blood 1
book 1
born 1
city 1
dance 1
dress 1
etraklion 2
eye 1
father 1
fetch 1
first 2
flesh 1
for 1
from 1
girl 1
god 2
godspeaker 1
gold 1
he 1
heartbroken 1
hekat 5
hekatsold 1
help 1
her 7
him 2
his 2
holds 1
homeland 1
how 3
human 1
in 3
insistence 1
is 2
it 1
joins 1
journey 1
just 1
kills 1
land 1
late 1
love 1
man 2
men 1
mijak 1
more 1
much 1
nameless 1
no 3
not 1
of 3
on 1
once 1
own 1
pity 1
precious 1
pretty 1
rapes 1
realizes 1
rest 1
runs 2
she 5
should 1
sing 1
slave 6
slaves 1
sold 1
some 1
sons 1
speak 1
stand 1
strange 1
tamed 1
teaches 1
than 1
that 2
the 9
them 1
those 1
through 1
thus 1
to 11
too 1
trader 1
trades 1
training 1
treats 1
unloving 1
until 1
warlord 1
way 2
when 1
who 5
wife 1
will 4
with 1
