9649063
/m/02pn2jt
/m/02pn2jt
Lee Child
2005
10 1
1000 1
1500 1
300 1
32 1
a 28
able 1
about 1
account 1
adds 1
advanced 1
after 2
again 1
against 2
agrees 1
airtight 1
also 4
although 1
ambiguity 1
an 2
analysis 1
and 23
ann 2
anything 1
apart 1
are 1
army 3
arrested 1
arrives 1
as 4
assist 1
at 3
attorney 1
available 1
away 1
badly 1
barr 14
battlefield 1
battles 1
bearing 1
beaten 1
been 1
before 1
behind 1
believes 1
beside 1
best 1
boss 1
brother 2
brutally 1
bus 1
businessmen 1
but 7
calculating 1
calmly 1
cant 1
capo 1
car 2
case 7
cash 6
championship 1
city 2
clarity 1
clean 1
clearing 1
clearly 1
climate 1
closer 1
clues 1
cnn 1
come 1
committed 1
committing 1
competition 1
complex 1
compliment 1
conclude 1
conclusions 1
confronting 1
convertible 1
convicting 1
convinced 1
corps 1
counting 1
crowd 1
da 1
day 1
deadon 1
defend 1
defense 1
dispatching 1
distance 1
district 1
does 1
doubt 1
down 2
drive 1
drives 1
due 1
during 3
efficiently 1
eightyyearold 1
enemy 1
energy 1
enhanced 1
entreats 1
ever 1
every 1
evidence 3
exchange 1
existence 1
explosive 1
expose 1
facts 1
falling 1
father 2
finally 1
fingerprints 1
fires 1
five 2
for 5
force 1
forcing 1
form 1
former 3
fortress 1
four 1
free 1
from 5
gang 3
garage 2
get 3
gets 2
giving 1
good 1
got 1
grudgingly 1
guaranteed 1
guards 1
guilty 2
gulag 1
gulf 1
gunman 1
gunny 1
guy 1
had 1
has 4
have 1
he 7
heartbeat 1
helen 4
her 5
him 6
his 10
hit 1
home 1
hoods 1
hour 1
humidity 1
if 2
in 13
include 1
indiana 5
infamous 1
infantry 1
information 3
innocence 1
innocent 1
instead 1
instructor 1
intelligence 1
interesting 1
into 1
investigating 1
investigation 1
invitational 1
is 21
it 2
its 1
jack 1
james 1
job 1
kentucky 1
killing 1
knowledge 2
known 1
knows 2
kuwait 1
last 1
lawyer 2
leading 1
learns 1
leaves 1
leaving 1
legitimate 1
let 1
lets 1
life 2
like 2
local 1
lone 1
long 1
looking 1
make 1
makes 1
marine 2
marksman 1
masquerading 1
massacre 1
maximum 1
me 1
means 1
mentioning 1
miles 1
military 5
missed 1
mob 1
modern 1
moral 2
more 2
most 2
mp 1
murdering 1
murders 1
mustang 1
nbc 1
news 2
no 3
nomadic 1
nonmarine 1
of 12
off 1
officer 1
on 5
one 3
only 3
or 1
outwits 1
own 2
owns 1
paper 1
parking 2
past 2
pay 1
people 1
perfect 1
perpetrators 1
person 1
pistol 2
place 1
plaza 1
pointblank 1
points 1
police 3
politics 1
practice 1
practiced 1
prosecute 1
prosecution 2
public 2
pulling 1
purpose 1
quarter 1
quickly 1
random 1
range 6
reacher 33
real 1
reasons 1
records 1
refrains 1
remember 1
reporter 1
respect 1
responds 1
reveal 1
rifle 1
riveting 1
rodin 1
rosemary 2
rush 1
russian 2
same 1
samuel 1
savings 1
say 1
says 1
scam 1
scene 2
scores 1
scraped 1
secret 1
see 1
seemed 1
sees 1
served 1
set 1
setup 1
sharp 1
sheet 1
sheets 1
shell 1
shooter 2
shooting 4
shootings 1
shootout 1
shot 4
shots 1
shows 1
shrinking 1
sift 1
similar 1
single 1
sister 1
six 1
skilled 1
slamdunk 1
slowing 1
small 1
sniper 5
so 1
some 1
someone 2
soviet 1
speed 1
spent 1
spoken 1
spree 1
strings 1
swore 1
tactfully 1
talk 1
target 3
team 1
teamed 1
technical 1
technicality 1
than 1
that 3
the 51
there 1
they 1
things 1
third 1
thirty 1
three 1
through 1
to 26
track 2
trail 1
trained 1
trajectory 1
tried 1
truth 1
trying 1
twisted 1
two 1
unseen 1
unspoken 1
unwilling 1
up 1
us 2
uses 1
victims 1
visit 1
walk 1
want 1
wants 1
war 1
was 2
weaponry 2
what 1
when 2
where 1
which 4
while 2
who 1
whole 1
why 1
will 2
willing 1
win 1
wind 1
winning 1
with 8
working 1
worth 1
would 2
wrong 1
yanni 1
yard 1
yards 2
years 3
young 1
zec 1
