12556251
/m/02wvrnw
/m/02wvrnw
Carolyn Meyer
2002-10-01
1520 1
a 11
accused 1
adultery 2
affair 1
after 3
all 1
always 1
ambition 1
among 1
an 2
and 15
anne 17
antagonized 1
as 3
ascend 1
aside 1
at 1
attention 1
badly 1
banishes 1
be 1
beauty 1
because 2
become 2
becomes 1
been 1
before 1
begins 2
blonds 1
bloody 2
boleyn 2
brother 2
but 2
by 7
called 1
catches 1
catherine 1
catholic 1
causes 1
child 1
childhood 1
church 1
claiming 1
cloth 1
come 1
committing 1
commoner 1
constantly 1
court 3
courting 1
coveted 1
dark 2
daughter 3
death 1
defending 1
deformities 1
defy 1
develops 1
dies 1
difficult 1
discarded 1
disgusted 1
drops 1
elizabeth 1
end 2
england 2
event 2
everybody 1
everyone 1
executed 1
eyes 1
fact 1
fails 1
falsely 1
family 1
favor 1
field 1
finally 1
finger 2
five 1
flaunts 1
for 2
from 1
gain 1
george 2
gets 1
give 1
gold 1
great 1
hair 1
halfsister 1
has 6
hates 1
have 1
heart 1
heavy 1
heirs 1
henry 5
her 18
hints 1
his 2
husband 1
illfavored 1
image 1
in 6
including 1
instead 1
is 11
it 2
jane 2
jealous 1
king 12
known 1
lack 1
lady 1
ladyinwaiting 2
later 2
learning 1
magic 1
male 1
manages 1
marriage 2
marry 1
mary 9
may 1
meanwhile 1
meets 1
men 1
miscarries 1
mistress 2
mole 2
neck 2
never 1
no 4
now 1
of 20
older 2
olive 1
on 3
only 1
other 1
outlined 1
own 2
palefaced 1
parents 1
persuade 1
plotting 1
powers 1
pregnant 1
produced 1
queen 4
realizing 1
reconcile 1
refuses 1
remarries 1
result 1
reveals 1
rise 1
rochford 1
roman 1
rumoured 2
second 2
secret 1
seen 1
seymour 2
she 11
sickness 1
since 1
sister 5
sixth 2
skin 1
small 1
somewhat 1
son 1
sons 1
story 1
strategically 1
summer 1
sweating 1
that 5
the 33
them 1
they 1
this 1
three 1
throne 1
time 2
tires 1
tiring 1
title 1
to 12
together 1
too 1
top 1
toss 1
true 1
two 1
up 1
uses 1
viii 2
virginity 1
vow 1
vows 1
way 1
wealth 1
were 1
when 6
while 1
who 4
wicked 1
widowed 1
wife 3
wifequeen 1
will 1
with 2
wits 1
years 1
