7006524
/m/0g_z68
/m/0g_z68
Hilari Bell
2003-04
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 27
able 1
accept 1
accepts 1
act 1
again 1
aid 1
aids 1
all 2
alliance 1
alone 1
among 1
an 1
and 27
are 2
army 1
around 3
as 5
ask 1
assists 1
attack 2
back 1
barbarians 1
be 1
because 1
becomes 1
been 1
behind 1
being 1
books 2
branded 1
bright 1
brother 2
burned 1
but 3
by 4
can 2
catches 1
caught 3
causing 1
chained 1
children 2
choking 1
cogswhallop 3
come 1
comes 1
consider 1
continue 1
convinces 1
customs 1
day 1
death 2
debt 1
different 1
disappear 1
divine 1
dropped 1
drops 1
earlier 1
eliminate 1
escape 1
events 1
face 1
familiar 1
family 4
far 1
fellow 1
find 3
finds 1
flee 2
fleeing 1
flees 3
flood 1
for 3
form 1
friendly 1
friends 1
from 7
goblin 6
goblins 17
group 1
guards 1
had 3
have 3
he 9
headquarters 1
heard 1
hedgewitch 2
hedgewitches 1
help 2
helping 1
helps 2
her 9
hill 1
him 3
himself 1
hiring 1
his 10
hope 1
hostage 1
how 1
huddled 1
human 3
humans 1
in 10
information 1
informs 1
into 4
is 16
jail 1
jumps 1
just 1
kept 1
killed 1
knight 1
knights 2
lair 2
lands 3
last 1
late 1
later 1
leader 1
leading 1
learn 1
learns 1
life 2
live 2
lived 1
lives 1
lost 1
magic 1
magical 1
makenna 12
many 2
may 1
meets 4
met 1
might 1
mission 2
mother 1
name 1
named 1
near 1
never 1
new 3
next 1
night 4
north 1
northern 1
not 2
of 13
old 1
on 1
one 3
ones 1
only 1
opens 1
other 1
otherworld 2
out 5
outpost 1
over 1
overtaken 1
peace 1
performs 2
place 3
plan 1
plant 1
portal 2
post 1
priest 6
priesthood 1
prison 1
raid 1
raided 1
rebels 1
released 1
repay 1
rescuing 1
rid 2
save 2
saves 1
seek 1
sent 1
servant 1
sets 2
settlers 1
seven 1
she 6
sits 1
small 3
sneak 1
sneaks 1
so 3
some 1
soon 2
sorceress 3
sources 2
south 1
spares 1
spell 2
spells 1
spy 1
stay 1
steal 1
stone 4
stop 1
taken 1
taking 1
taunting 1
teased 1
tells 3
tent 1
that 8
the 58
their 4
them 1
then 1
there 1
they 7
through 1
to 34
tobin 16
together 1
town 4
trader 1
traitor 1
travels 1
tries 1
try 1
trying 2
up 1
using 1
valiantly 1
vengeance 1
village 9
walk 1
wall 1
watches 1
what 1
when 1
where 5
while 3
who 2
whole 1
with 5
woods 2
working 1
world 3
year 1
young 1
