25334800
/m/09gdgmt
/m/09gdgmt
Ruskin Bond
2003-01
1857 1
6 1
a 5
able 2
action 1
again 1
all 1
and 10
are 5
as 1
at 1
away 1
book 1
british 2
britishers 2
but 1
by 3
can 1
church 1
comes 3
committed 1
condition 1
country 2
cunning 1
daughter 3
death 1
decided 1
different 1
does 1
entire 1
eyes 1
family 4
father 1
few 1
fights 1
finally 1
followed 1
forcefully 1
foreigners 1
friend 1
from 1
front 1
give 2
gives 1
happening 1
have 1
he 3
help 1
her 5
him 2
himself 1
his 2
hold 1
home 3
house 1
if 2
in 5
indian 2
into 2
is 6
it 1
javed 5
keeps 2
khan 5
kill 1
killed 1
know 1
labadoor 7
lala 2
leader 1
let 1
living 1
lose 1
lots 1
man 1
many 1
mariam 3
marry 3
maximum 1
members 1
mother 1
murder 1
narrator 1
not 2
novel 1
of 13
on 1
once 1
one 1
part 1
pathan 1
pleads 1
ramjimal 1
reach 1
rebellion 1
rebels 2
relatives 1
rest 1
ruth 4
saves 1
security 1
shahjahanpur 1
she 5
shelter 1
small 1
starts 1
suddenly 1
support 1
take 2
takes 2
that 3
the 24
their 4
them 2
then 3
there 1
they 1
this 1
times 1
to 9
town 1
trusted 1
various 1
very 1
want 1
warmly 1
welcomed 1
who 5
with 3
would 2
