23869776
/m/076v37f
/m/076v37f
Jay Asher

{"/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 16
actions 1
advantage 1
all 1
already 1
an 1
and 6
anonymouslysent 1
another 1
audio 1
baker 1
be 1
body 1
but 1
by 3
cassette 1
certain 1
chain 1
charges 1
cheerleader 1
classmate 2
classmates 1
clay 3
committed 1
containing 1
could 2
counselor 1
crashes 1
crush 1
crusha 1
damaged 1
day 1
death 2
depression 1
discovers 2
do 1
doorstep 1
embarrassment 1
emotionally 1
encounter 1
entire 1
explaining 1
explains 1
face 1
find 1
first 1
forever 1
former 1
friend 1
from 2
given 1
giving 1
goof 1
guidance 1
guy 1
had 1
handful 1
hannah 5
harassment 1
harmless 1
has 1
hater 1
haunt 1
he 1
her 8
high 1
himself 1
his 2
home 1
how 1
identity 1
if 1
in 2
initially 1
instructions 1
into 2
is 1
it 2
jail 1
jensen 1
late 1
later 1
lead 1
leads 1
leaked 1
letter 1
liar 1
life 1
list 1
lists 1
mailed 1
member 1
narrative 1
not 1
of 8
on 4
one 4
opening 1
or 1
others 1
package 1
pain 1
pass 2
passed 1
peeping 1
people 3
physical 1
pills 1
played 1
poems 1
public 1
reasons 1
recently 1
recorded 1
returns 1
reveals 1
role 1
school 2
second 2
set 2
sexual 1
shame 1
she 3
shoebox 1
shy 1
sign 1
sitting 1
somewhat 1
spiral 1
steals 1
stop 1
student 3
style 1
suffering 1
suicide 1
takes 1
taking 1
tapes 6
that 4
the 13
their 2
them 3
they 4
thief 1
thirteen 3
this 1
thought 1
through 1
time 1
to 9
tom 1
took 1
ultimately 1
upon 1
warns 1
were 3
while 1
who 4
whom 1
why 1
will 2
with 2
wrong 1
