10382661
/m/02qb0l2
/m/02qb0l2
Christine Feehan

18 1
25 1
500 1
a 26
able 2
affair 1
after 4
again 1
alive 2
all 1
allow 1
almost 1
also 5
always 2
american 1
an 1
and 24
another 1
any 1
apparently 1
are 4
arrive 1
as 1
asks 1
assault 1
at 1
attack 2
attacked 1
attacks 3
awakens 1
bank 1
be 3
because 3
becomes 1
been 3
before 3
begins 1
behind 1
being 5
believe 1
believes 1
believing 1
betrayed 1
binding 1
birth 3
blood 8
bodily 1
body 1
book 1
born 1
brilliant 1
brother 1
buried 3
but 4
by 7
byron 2
calls 1
can 3
capable 1
carpathian 3
caught 1
cellar 2
child 2
childhood 1
children 1
clear 1
commits 2
compelled 1
compulsion 1
confirms 1
connect 1
considered 1
contact 1
converted 1
convinces 1
cure 2
dank 1
dark 2
day 3
days 1
dead 1
deep 1
delivered 2
deranged 1
despite 1
destroy 1
determine 1
devastates 1
diary 1
difference 1
different 1
disappears 1
discover 1
discovered 1
disease 3
disorder 4
do 1
doesnt 2
down 1
dreams 1
driven 1
dubrinsky 1
earlier 2
epicenter 1
even 3
evening 1
explanation 1
extinction 1
faces 1
fanatical 1
father 5
fears 1
feeding 1
feel 1
feels 1
felt 1
female 2
few 1
find 1
finds 2
first 1
for 6
forced 1
forest 1
from 4
functions 1
further 1
gave 1
get 1
giving 1
go 2
goes 4
gregori 3
group 1
halfbrother 1
halfcarpathian 1
halfhuman 1
happened 1
has 8
have 4
having 1
he 12
heal 1
healer 1
hear 1
help 1
her 31
hes 1
him 12
himher 1
his 11
home 1
horrendous 1
housed 1
how 1
human 5
humans 2
hunt 1
hunting 1
ill 1
immediately 2
important 1
impossible 1
imprisoned 1
in 9
infidelity 1
inform 1
informs 1
inherited 1
instantly 1
instincts 1
is 27
it 4
jacques 15
just 1
kill 2
killed 2
killers 1
knew 1
knows 1
learns 1
leave 1
legends 1
life 1
lifemate 2
like 1
loses 1
loss 1
love 1
luckily 1
maggie 4
make 1
man 5
many 1
married 1
matter 1
may 1
means 1
medicine 1
members 1
memory 2
men 2
might 1
mikhail 4
more 2
most 1
mother 2
mountains 1
much 1
murdered 3
named 1
need 1
next 2
no 5
noelle 2
normal 1
not 2
occasionally 1
of 20
ohalloran 1
on 5
one 4
only 4
order 1
others 2
own 2
pain 1
painful 1
patient 1
people 2
perhaps 1
personal 1
pictures 1
place 1
powerful 1
pregnancy 1
pregnant 1
prince 1
protective 1
psychic 1
pursuit 1
puzzling 1
race 1
races 1
racked 1
rand 5
rare 1
raven 5
realizes 4
recently 1
recites 1
refuses 1
region 1
relates 1
rescue 1
research 1
researcher 1
retreats 1
ritual 1
room 1
same 3
sanity 1
save 2
see 1
selected 1
senses 1
seven 2
she 29
shea 14
shes 3
shooting 1
show 1
since 1
sister 1
smell 1
society 4
some 1
something 1
son 2
soon 1
spot 1
spotted 1
stake 1
stark 1
stay 1
story 1
stunned 1
suddenly 2
suffers 2
suicide 2
surgeon 1
survive 2
taken 1
takes 3
tell 3
tells 1
than 1
that 24
the 39
their 2
them 3
then 2
there 2
they 11
thing 1
think 1
thinking 1
third 1
this 11
thoughts 1
threat 2
through 1
time 3
to 31
too 1
tormentors 1
tortured 4
torturing 1
touches 1
track 1
tracked 1
transfusions 1
treats 1
tries 1
triggers 1
truth 1
trying 1
turns 1
twice 1
uneasy 1
unfortunately 1
vampire 6
vampires 1
verge 1
violent 1
violently 1
visions 1
vitally 1
walk 1
was 8
what 2
when 6
where 2
while 1
who 11
whose 1
wife 2
will 2
with 6
woman 2
women 2
words 1
works 1
world 1
wounds 1
writes 2
wrong 1
years 4
younger 1
