18692875
/m/04gh7ct
/m/04gh7ct
Clarence Thomas
2007-10-01
1 1
10 1
10th 1
148 1
17 1
170s 1
174 1
180 1
180s 1
181 1
182 1
183 2
a 18
abandoned 1
about 2
academically 1
accusations 1
accusers 1
administration 1
adulthood 1
after 4
against 1
age 1
agent 1
agents 1
alcoholic 1
all 1
almost 1
alone 1
also 1
altar 1
although 1
ambush 1
an 4
and 22
anderson 5
another 1
anticipated 1
any 1
apartment 1
appointment 1
approximately 1
are 2
around 1
as 4
assistant 2
at 5
attend 2
attended 2
attorney 2
be 4
became 1
because 1
been 2
before 1
began 2
begins 1
being 1
belief 1
birth 1
black 2
boarding 1
book 1
both 1
boy 1
briefly 1
brother 1
burdened 1
but 1
by 5
car 1
card 1
career 2
catholic 1
centers 1
chance 1
changing 1
child 2
childhood 1
chronologically 1
church 1
civil 1
closeness 1
coldturkey 1
college 1
commission 1
company 1
confessions 1
confirmation 2
conservative 1
continues 1
control 1
conversation 1
court 3
credit 1
criticizing 1
cross 2
culminating 1
cut 1
danforth 2
day 2
days 1
dc 1
defending 1
demons 1
department 2
describes 3
describing 2
died 1
difficult 1
disappointed 1
discussing 1
district 1
dominated 1
drank 1
drinker 1
drinking 3
dropping 1
early 2
earned 1
education 2
embracing 1
emotional 1
employment 1
encountered 1
end 1
equal 1
estranged 1
evicted 1
excelled 1
falling 1
family 1
far 1
father 1
fbi 1
financial 1
financially 1
first 4
five 1
focus 2
follow 1
following 1
for 4
found 2
framed 1
freed 1
from 6
front 1
gave 1
general 1
georgia 1
getting 1
girlfriend 1
goes 1
government 1
grade 2
graduating 3
grandfather 9
had 7
harassment 1
haunt 1
haunted 1
having 1
he 15
head 1
hearings 2
heavy 1
her 1
hill 1
him 7
himself 2
his 27
holy 2
home 2
honors 1
hospital 1
house 2
however 1
ideological 1
impact 1
in 18
incident 1
including 1
intellectual 1
is 2
issues 2
its 1
job 1
john 1
joined 1
journey 1
judicial 1
kathy 1
kicked 1
kicking 1
late 1
latent 1
later 1
law 1
learned 1
leaving 1
legal 1
lenses 1
leola 1
libertarian 1
life 2
live 1
loans 1
long 1
love 1
low 1
made 1
maid 1
main 1
many 1
marrying 1
massachusetts 2
maternal 1
meaningful 1
memory 1
missouri 1
monsanto 1
month 1
morality 1
most 1
mother 1
motives 1
move 1
moved 1
moving 1
much 1
my 5
myers 1
never 1
new 1
next 1
nomination 1
north 1
of 27
office 1
often 1
on 6
once 1
one 4
only 1
opportunity 1
or 1
out 3
over 1
overcoming 1
paid 1
pair 1
parts 1
party 1
period 2
personal 1
plagued 1
point 1
priest 2
problem 1
professional 1
promoted 1
public 1
quit 1
race 1
racism 3
reagan 1
reasons 1
regaining 1
registration 1
reliance 1
rental 1
republican 1
result 1
reunited 1
rights 1
run 1
rural 1
salaries 1
savannah 1
says 3
school 4
schools 1
secretary 1
sections 1
see 1
self 1
sent 1
several 1
sexual 1
shortlived 1
shortly 1
socially 1
son 5
spent 1
stance 1
steadily 1
stepgrandmother 1
still 1
stint 1
stroke 1
struggles 1
student 1
students 1
studying 1
subsisting 1
suggestion 1
supreme 2
term 1
that 6
the 37
their 1
themes 1
then 1
thensenator 1
there 2
these 1
third 1
this 3
thomas 26
those 1
through 2
throughout 4
time 2
times 1
to 18
toddler 1
too 1
took 1
two 2
under 1
until 1
up 3
upon 1
utopia 1
visited 1
wanted 1
was 10
washington 1
week 1
weekend 1
were 1
when 4
while 2
who 2
wife 2
with 7
without 1
work 1
worried 1
worse 1
would 2
writing 1
yale 2
years 1
