839207
/m/03fx75
/m/03fx75
Henry James

{"/m/05hgj": "Novel"}
a 5
about 1
affair 1
afraid 1
after 2
again 1
along 1
also 1
america 1
american 2
amount 1
an 4
and 13
are 2
as 4
at 2
attention 1
aunt 4
barbaro 1
be 1
because 1
been 1
before 2
bequest 2
betrothed 1
but 3
by 1
called 1
can 1
careful 1
chooses 1
comes 1
companion 2
complete 1
conceal 1
confidante 1
constantly 1
consummate 1
conversely 1
croy 1
cryptic 1
death 2
deathly 1
decides 1
demands 1
densher 13
desperately 1
despite 1
didnt 1
disease 1
doctor 1
does 1
doesnt 1
domineering 1
dying 1
else 1
eminent 1
engaged 1
enjoys 1
enormously 1
eventually 1
everybody 1
everything 1
exclamation 1
face 1
fallen 1
family 1
fears 1
feelings 1
final 1
finally 1
find 1
first 1
follow 1
for 1
former 1
friend 1
from 4
full 1
get 1
girl 1
gives 1
go 1
goes 1
great 1
grows 1
had 3
hanging 1
has 1
have 1
he 7
heiress 2
hell 1
her 13
him 2
idea 1
if 1
ill 2
illness 1
in 5
incurable 1
inherit 1
instead 1
into 1
is 7
kate 15
know 1
large 1
last 1
learns 1
leave 1
leaves 1
leporelli 1
little 1
living 1
london 4
londoners 1
love 1
lovers 1
lowder 1
luke 1
make 1
marry 4
maud 5
merton 1
met 2
milly 14
money 6
mrs 2
much 1
never 1
news 1
noncommittal 1
novel 2
now 1
of 6
offers 1
old 1
older 1
on 2
one 1
over 2
page 1
palazzo 3
part 1
party 1
pay 1
physician 1
plan 2
plot 1
possible 1
presumably 1
previously 1
put 1
quite 1
receives 1
refuses 1
remains 1
return 1
returns 1
reveal 1
reveals 1
rich 1
see 1
sees 1
serious 1
shall 1
she 7
sir 1
so 1
social 1
soontooccur 1
strett 1
stringham 2
success 1
suffering 1
suitor 1
suspected 1
suspects 1
that 5
the 18
theale 1
their 2
they 1
this 1
though 2
threat 1
time 1
to 17
touch 1
travel 1
travelling 1
trip 1
troubles 1
turns 1
two 1
unfortunately 1
unless 1
upon 1
venice 2
very 2
wall 1
want 1
wants 1
was 1
we 2
welcome 1
were 1
where 2
while 1
who 2
why 1
will 1
with 8
woman 1
wont 2
world 1
worst 1
young 1
