5245337
/m/0d9r65
/m/0d9r65
Sigrid Undset

134 1
14th 1
a 25
aashild 1
abbey 2
about 3
absence 1
acceptance 1
accepted 1
accident 1
accidentally 1
accused 1
adulterous 1
adultery 1
affluent 1
after 13
afterwards 1
age 1
all 1
although 2
an 6
and 44
angry 1
appearance 1
are 3
area 1
argument 1
arms 1
around 2
arrival 1
arrives 1
as 10
ask 1
asserting 1
at 4
attempted 1
aunt 1
aware 1
baby 1
be 4
become 2
becomes 3
been 2
before 3
begin 1
being 1
benedictine 1
betrothed 2
birth 4
black 1
bonds 1
book 2
born 1
borne 1
both 2
breach 1
bridal 1
brides 1
brief 1
briefly 1
but 9
by 2
called 1
can 1
careless 1
catholic 2
century 1
character 2
charismatic 1
child 3
childhood 3
children 4
church 2
circumstances 1
cohabitating 1
comfort 1
coming 1
community 1
compares 1
complicity 2
conceive 1
conception 1
concerned 1
conciliation 1
confessing 1
confession 1
conflicts 1
confrontation 1
consents 1
considers 1
continuing 1
contrast 1
couple 2
crippling 1
crown 2
custom 1
cycle 1
darre 2
daughter 3
days 1
dead 1
deal 1
death 4
dedicates 1
defiance 1
defying 1
demonstrates 1
depicted 1
depression 1
despite 1
develops 1
devoutly 1
die 2
dies 2
do 1
does 1
donates 1
due 1
during 2
dying 1
early 1
efforts 1
eighth 1
elderly 1
eldest 1
eline 2
else 1
end 1
entitled 1
erlend 24
estate 2
estranged 2
eventual 1
eventually 1
everyone 1
excommunicated 1
experiences 1
exposed 1
extracts 1
eyes 1
fail 1
faith 2
faithful 1
falls 1
family 7
farm 3
farmer 1
father 2
fear 1
fears 1
fianc 1
fictitious 1
finds 1
first 1
flouting 1
following 1
follows 1
for 14
forbids 1
foreman 1
forfeited 1
forges 1
forgiveness 1
formally 1
former 3
fortune 1
foul 1
fourteen 1
from 7
future 1
gain 1
girl 1
give 1
given 1
gives 2
golden 2
good 1
grievous 1
grows 1
gudbrandsdalen 1
had 1
hair 1
handing 1
happiness 1
happy 1
hardship 1
harsh 1
has 6
haugen 2
have 4
he 8
head 1
healthy 1
her 44
herself 2
hestviken 2
highlights 1
him 3
his 12
home 2
household 1
however 1
hurt 1
husaby 3
husband 4
ill 1
immediately 1
impetuous 1
imprisoned 1
impulsive 1
in 30
including 1
increasingly 1
infancy 1
infant 1
inform 1
inheritance 1
innocence 1
innocent 1
insisting 1
instead 1
is 27
it 2
jealousy 1
jorundgrd 1
jrundgrd 2
judge 1
keeps 1
kristin 34
landowner 1
large 1
lavrans 3
lavransdatter 3
law 1
lay 1
learns 1
leaves 1
left 2
legal 1
life 5
light 1
little 1
live 1
living 2
local 1
locals 1
longer 3
loose 1
lose 1
loss 1
lost 2
love 3
loved 1
loves 1
loving 1
main 1
maintains 1
make 1
man 1
manor 2
many 2
margret 1
marriage 2
married 3
master 2
means 1
medieval 1
meets 1
member 1
misfortunes 1
mistress 1
more 1
move 1
must 4
naakkve 1
name 1
named 2
names 1
near 1
neighboring 1
nikulaus 1
nikulaussn 1
no 4
noble 1
nobleman 1
nonneseter 1
norway 3
norwegian 1
not 1
now 1
number 1
nunnery 1
nursing 1
obligations 1
of 46
olav 2
on 1
one 2
only 2
openly 1
opens 1
oppose 1
or 1
orm 1
oslo 1
other 1
out 4
over 2
parents 4
parish 1
part 1
particularly 1
passion 1
passionate 1
past 1
penance 1
people 1
pilgrimage 1
pit 1
place 1
plague 2
playing 1
point 2
political 1
possessions 1
powers 1
pregnant 1
priest 2
privileges 1
prominent 1
promise 1
property 2
prosperous 1
proves 1
publicly 1
pushed 1
questions 1
ragnfrid 1
raised 1
raises 1
raising 1
rally 1
ramborg 4
rape 1
recklessness 1
refuses 1
rein 1
relationship 3
relationships 1
relatives 1
religion 1
religious 2
remain 1
remaining 1
remorse 1
reputation 1
reserved 2
respected 1
return 3
returns 1
reunite 1
rides 1
rights 1
roman 1
romance 1
running 1
runs 1
rural 1
same 1
sealed 1
second 1
secret 1
secretly 1
section 1
seduces 1
seduction 2
see 1
sense 1
sensitive 1
sent 1
sets 1
settles 1
shame 1
she 27
short 1
shortly 1
shrine 2
sil 1
simon 7
sin 1
since 3
sins 2
sister 1
six 1
skog 1
slain 1
small 1
snake 1
so 1
social 1
someone 1
son 7
sons 6
soon 1
sorrows 1
spared 1
spite 1
st 1
stands 1
stark 1
state 1
still 1
strength 1
strong 1
subject 1
succumbed 1
succumbs 1
suffer 1
suffering 1
suffers 1
superstition 2
surprise 1
symbolizes 1
takes 1
terrible 1
tetralogy 1
thanks 1
that 5
the 62
their 7
them 1
there 1
these 1
they 5
third 1
this 7
those 1
though 1
three 2
through 1
time 3
to 43
together 3
tragedies 1
trilogy 1
trndelag 1
trondheim 2
trying 1
turning 1
two 3
ulvhild 2
unborn 1
unchanged 1
understands 1
undertakes 1
undeservedly 1
undset 1
unfavorably 1
unfortunate 1
up 1
upon 1
various 1
very 1
virgin 1
virgins 1
wasteful 1
way 1
ways 1
weakens 1
weaknesses 1
wear 1
wearing 1
wears 1
wed 1
wedding 2
well 1
wellrespected 1
were 1
what 1
when 3
where 1
which 6
while 1
who 4
whole 1
wife 4
will 1
willful 1
with 14
without 1
woman 1
words 1
wore 1
wreath 2
wrote 1
years 4
young 3
younger 1
