21799350
/m/05mxvyz
/m/05mxvyz

2007-10-09
{"/m/02jfw": "Encyclopedia"}
a 4
addition 1
adult 1
advisory 1
age 1
an 1
and 4
anime 1
any 1
at 2
back 1
basics 1
book 1
complete 1
containing 1
content 1
covering 1
demographic 1
description 2
each 2
four 1
glossary 1
guide 1
has 1
have 1
in 1
includes 2
including 1
individual 1
information 2
japanese 1
josei 1
language 1
least 1
manga 3
numerous 1
objectionable 1
of 4
on 2
one 1
or 1
out 1
own 1
paragraph 1
rating 1
related 1
section 1
seinen 1
shjo 1
shnen 1
stars 1
terms 1
that 1
the 6
their 1
title 1
titles 1
to 1
yaoi 1
