5254706
/m/0db2x9
/m/0db2x9
Barbara Mertz
1988
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
186 1
a 7
about 1
accepts 1
adventure 1
after 1
against 1
always 1
amelia 5
an 2
and 11
are 1
arrival 1
as 4
at 1
attempts 1
backup 1
be 3
begins 1
belongings 1
british 1
brother 1
cellar 1
children 2
competing 1
corset 1
cuff 1
curse 1
custom 1
den 1
despised 1
detection 1
doll 1
dump 1
each 1
egyptology 1
emerson 2
emersons 4
emptyheaded 1
ending 1
england 1
enters 1
eventually 1
expertise 1
fellow 1
figure 1
find 1
finds 1
flooded 1
for 3
from 1
hate 1
he 3
her 1
higher 1
him 1
his 1
home 1
if 1
imagine 1
immediately 1
in 6
including 1
injury 1
inspector 1
instill 1
is 2
james 1
journalist 1
keep 1
kevin 1
kidnapping 1
knowledge 1
lion 1
m 2
masked 1
meanwhile 1
minton 2
more 1
mummy 2
museum 2
mysteriously 1
mystery 1
no 1
obviously 1
oconnell 1
of 3
on 6
only 2
opium 1
other 1
out 2
overeats 1
owner 1
past 1
percy 3
pesters 1
portent 1
possession 1
principles 1
ramses 3
reports 1
return 1
save 1
scoop 1
scotland 1
seems 1
sight 1
sinister 1
some 1
spoiled 1
stalks 1
story 1
subjected 1
summer 2
supposed 1
surprise 1
take 1
tantrums 1
temper 1
that 1
the 14
their 4
them 1
themselves 1
throws 1
to 10
trapped 1
turns 3
two 1
up 2
upon 1
usual 1
valley 1
violet 2
wants 1
when 1
which 1
who 2
with 1
woman 2
yard 1
young 1
