12722044
/m/02x2430
/m/02x2430
Guus Kuijer
2004
{"/m/0dwly": "Children's literature"}
a 6
all 1
amsterdam 1
and 4
are 1
as 2
beating 1
belong 1
book 2
boy 1
but 1
by 1
can 1
canal 1
diary 1
down 1
else 1
embarrassment 1
everything 2
family 2
father 1
fears 1
fish 1
four 1
from 1
hail 1
harmonious 1
he 2
him 1
his 4
hits 1
holds 1
however 1
in 4
invisible 1
is 2
leaves 1
lives 1
man 1
margot 1
mother 1
named 1
nineyearold 1
no 1
not 2
of 3
one 1
parents 1
people 1
punishes 1
relates 1
religious 1
repeatedly 1
ripped 1
said 1
see 1
set 1
sister 1
spoon 1
such 1
tale 1
that 1
the 5
their 2
they 1
things 1
thomas 4
thoughts 1
to 1
trees 1
tropical 1
very 1
which 1
who 1
with 2
wooden 1
writes 1
