6669763
/m/0ggrlv
/m/0ggrlv
Jack Whyte
1992
a 41
able 2
about 2
african 1
after 7
again 2
agents 1
agree 3
alaric 2
aligned 1
all 4
alliance 1
along 1
alric 1
also 6
ambush 1
among 2
an 1
and 37
another 2
approaches 1
approval 1
aquae 4
are 6
army 1
around 1
arrival 1
arrivals 1
arrives 1
arriving 1
as 2
assassination 1
at 3
atonious 1
attack 1
attacker 1
attempt 2
attending 1
back 1
bagaudae 1
bandits 1
beating 1
because 3
become 1
bed 1
bedded 1
beds 1
been 4
begin 2
begins 3
berbers 1
between 2
birth 1
bishop 2
book 1
bow 1
boyhood 1
breath 1
bring 1
brings 1
britain 4
britannicus 14
britons 1
brittanicus 1
brother 4
brotherinlaw 1
brothers 1
buried 1
business 1
but 1
by 12
caesarius 1
caius 5
called 2
captive 1
carries 1
carving 1
casts 1
cataclysm 1
cattle 2
caught 1
cavalry 2
celtic 2
celts 1
chapter 1
chest 1
cicero 1
clan 1
cohort 1
coincides 1
colchester 5
collection 1
colonies 1
colonists 1
colony 3
command 1
commander 1
connections 1
conspiracy 1
constantinople 1
contracts 1
controlled 1
conviction 1
cottage 1
cousin 1
coventina 1
covert 1
craters 2
create 2
cuno 1
cymric 1
dagger 1
dark 1
deals 1
death 1
demonstrates 1
despite 1
devoid 1
dies 1
digs 1
discover 2
discovered 1
discussing 1
does 1
donutshaped 1
downpour 1
dragon 2
dragons 1
drains 1
druid 4
during 3
each 2
elder 1
eldest 1
emperor 2
empire 1
employing 1
encounter 3
encounters 5
ends 1
enemies 1
engineers 1
enough 1
ensured 1
entreats 1
equus 4
escape 1
escapes 2
event 1
eventually 1
existence 1
explains 1
express 1
expresses 1
family 1
favored 1
fighting 1
figure 1
final 1
finally 1
find 1
finds 4
firma 1
first 2
flees 1
fleet 1
follows 1
for 5
framework 1
frankish 1
freed 1
friend 2
friends 2
from 8
gains 1
gaul 1
gets 1
goddess 1
grandfather 4
grief 1
group 2
growing 1
guards 1
had 11
hadrian 1
half 1
hamlet 1
handful 1
hands 1
happened 1
hardest 1
has 1
hatches 1
he 17
heading 1
heavy 1
help 1
helper 1
hierarchy 1
higher 1
him 6
hired 1
his 20
history 2
hoodwinked 1
horde 1
how 1
hunchback 1
impact 2
in 16
individual 1
injured 1
injuries 2
injury 1
interest 1
interfere 1
into 1
introduces 1
invasion 1
invest 1
invitations 1
invites 1
iron 1
is 7
its 1
jolly 1
kill 1
killed 1
killing 1
king 1
knowledge 1
lady 1
lake 4
large 2
later 2
law 1
laying 1
lead 1
leaders 1
leads 3
learns 1
leaves 1
left 1
legate 1
legion 4
livelihoods 1
local 5
location 2
londinium 1
long 1
lost 1
luceiia 6
main 1
man 1
manhunt 1
marked 1
marry 1
massive 1
materials 1
may 1
meanwhile 2
meet 1
meeting 2
meets 1
men 2
metal 2
meteor 2
military 7
millarian 1
murder 1
mysteriously 1
myth 1
names 1
nature 1
nesca 3
nest 1
new 1
news 3
night 2
not 2
now 3
number 2
of 41
on 2
other 4
out 3
outside 1
over 1
overcome 1
owns 1
part 1
parts 1
party 2
passes 1
pendragon 1
pendragons 1
people 1
persistent 1
pheobe 3
picts 1
picus 1
pilus 1
pirates 1
places 1
plautus 2
plot 1
political 1
powers 1
previously 1
primus 2
proposes 1
proposition 1
protective 1
publius 1
purchase 1
quality 1
quinctilius 1
quintus 1
rampant 1
recalls 1
recovering 1
recovers 1
recruiting 1
region 1
regional 1
respectively 1
retelling 1
retrieves 1
return 3
returned 1
returns 3
reveals 1
revolved 1
rising 1
road 1
roman 3
run 1
running 1
same 1
search 1
second 1
seneca 6
senecas 4
sent 1
seven 1
several 4
shakes 1
shelter 1
shower 1
similar 1
since 1
sister 2
site 1
sky 1
skystone 3
small 1
smelt 1
smelting 1
smithing 1
smithy 1
some 1
son 1
soon 4
sparring 1
spend 1
spends 1
spent 1
statue 1
stay 1
stilicho 1
stone 1
stones 1
striking 1
such 1
sulis 4
suppliers 1
surrounding 1
surveillance 1
sword 1
swords 1
take 1
talking 1
tell 1
telling 1
tensions 1
tera 1
than 1
that 15
the 84
their 4
them 3
themselves 1
then 1
theodosius 1
there 5
these 3
they 11
think 1
thinking 1
this 5
thoughts 1
through 2
time 2
to 28
together 1
tools 1
trader 1
trading 1
traveled 1
tribe 1
tribes 1
trip 1
two 4
ullic 1
under 2
unit 2
unknown 1
up 2
upon 1
use 3
v 1
valeria 1
valley 2
varo 3
varrus 35
verrus 1
verulamium 1
victrix 1
villa 7
villas 1
visit 1
visiting 1
visits 1
vocal 1
wall 1
was 5
way 1
weapons 1
wedding 3
weeks 1
welsh 1
were 1
westering 1
when 3
where 4
which 4
while 8
who 9
with 13
withdrawal 1
working 1
would 1
xx 1
year 1
years 1
youngest 3
