26212501
/m/0b778f2
/m/0b778f2
Claudia Gray
2008-05-27
{"/m/039vk": "Gothic fiction", "/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 14
about 2
academy 1
accepted 1
accepts 1
after 2
again 1
against 1
all 1
alone 1
always 1
an 1
ancestors 1
and 17
are 2
argument 1
as 1
asks 1
at 2
attack 1
autumn 1
awakens 1
baby 1
back 1
ball 1
balthazar 5
became 1
because 2
been 3
before 1
befriends 2
believes 1
belong 1
best 1
bianca 11
bites 1
black 2
blood 1
boarding 1
brain 1
but 6
calls 1
campus 1
cannot 1
chase 1
child 1
comes 1
courtney 2
cross 2
dating 1
days 1
declare 1
develops 1
did 1
discovers 1
do 1
does 1
drinks 1
each 1
elite 1
enemies 1
erich 1
escape 1
even 2
event 1
eventually 1
ever 1
evernight 3
everything 1
except 1
few 1
first 1
for 4
friendly 1
from 1
gazebo 1
get 1
gives 1
goes 1
gothic 1
group 1
guy 1
handsome 1
has 1
hate 1
have 2
he 5
hearing 1
help 1
her 10
hiding 1
him 2
his 3
holds 1
home 1
humans 1
hunters 1
in 1
into 1
is 6
it 1
kiss 1
knows 1
later 1
leaves 1
letter 1
like 3
loner 1
love 2
loves 1
lucas 11
meet 2
member 1
mentions 1
more 1
new 1
no 1
not 3
now 1
of 6
off 2
officially 1
olivier 1
one 1
other 1
out 1
outside 1
own 1
parents 4
party 1
perfect 1
popular 1
predatory 1
progresses 1
raised 1
raquel 1
realize 1
realizes 1
receives 1
reluctantly 1
remember 1
rest 2
roommate 1
runs 1
says 1
school 4
screams 1
she 15
still 1
stolen 1
student 1
students 1
take 1
teachers 1
team 1
telling 1
tells 1
temptation 1
that 3
the 12
their 1
them 3
there 1
they 5
think 1
this 2
though 1
through 1
time 2
to 8
trusts 1
truth 1
turn 1
two 2
type 1
unable 1
under 1
understand 1
up 2
upon 1
us 1
vampire 4
vampires 3
vic 2
weeks 1
well 1
went 1
what 2
when 2
who 1
will 2
with 4
you 1
