20568107
/m/05243ch
/m/05243ch
Lawrence Hill
2007-01-18
11yearold 1
a 5
abolish 1
account 1
actual 1
advantages 1
africa 1
also 1
america 1
american 1
aminata 3
an 3
and 5
archive 1
arrives 1
as 1
becomes 1
begins 1
book 2
bound 1
british 1
but 1
carolina 1
carrying 1
certain 1
child 1
circumstantial 1
coffle 1
crossing 1
develops 1
diallo 1
discover 1
do 1
document 1
due 1
england 1
entered 1
events 1
eventually 3
finds 2
for 2
forced 1
freed 1
freedom 1
from 1
having 1
her 4
herself 1
historic 1
historical 1
how 1
in 8
is 3
it 1
later 1
learns 1
leave 1
leone 1
life 3
loyalist 1
may 1
midwife 1
months 1
more 1
name 1
negroes 1
new 2
not 1
nova 1
ocean 1
of 6
one 2
only 1
oppressive 1
order 1
other 1
passing 1
permission 1
place 1
possesses 1
present 1
read 1
requested 1
resettle 1
returns 1
revolutionary 1
scotia 1
sea 1
serving 1
she 4
ships 1
sierra 1
skills 1
slave 2
slaves 4
so 1
south 1
states 1
string 1
taken 1
that 3
the 9
this 2
thousands 1
time 1
to 10
trade 1
united 1
unyielding 1
village 1
walk 1
war 1
west 1
where 1
who 1
write 1
years 1
