17546696
/m/0463dsm
/m/0463dsm
Don Perrin
1999-08

a 6
advance 1
after 1
against 1
also 1
and 9
antimodes 2
are 3
ariakas 2
arms 1
army 3
as 3
at 1
attempting 1
baron 2
base 1
be 1
been 1
begins 1
blodehelm 1
brothers 2
by 3
caramon 2
catches 1
citizens 1
city 2
come 1
convince 1
decided 1
destroy 1
dragon 2
dragonarmy 1
eggs 1
end 2
fellow 1
finally 1
find 1
fording 1
forge 1
friend 1
friendship 1
from 1
go 2
goes 1
gold 1
good 1
halfkender 1
has 2
have 3
haven 2
he 3
healed 1
her 2
hiding 1
high 1
him 3
hired 2
his 1
hope 2
horkin 1
horse 1
immolatus 1
in 6
is 3
ivor 2
joined 1
king 2
kitiara 2
langtree 3
leaves 1
left 1
lemuel 1
mage 1
majere 2
marching 1
master 1
matar 1
meanwhile 1
meet 1
mercenaries 1
mission 1
of 11
off 1
on 2
orders 3
out 1
part 1
passed 1
place 1
pneumonia 1
prove 1
raislin 1
raistlin 4
ranks 1
rebelled 1
receive 2
recruit 1
red 1
river 1
same 1
sanction 2
scrounger 1
sends 1
setting 1
silver 1
sister 1
sorcery 1
soulforge 1
special 1
spring 1
succeeds 1
taken 1
test 1
the 23
them 1
there 1
they 3
throws 1
time 1
to 11
towards 1
trained 1
trying 1
twins 2
uth 1
war 1
warrior 1
way 2
where 3
while 1
whose 1
wilhelm 1
will 1
winter 1
with 2
worth 1
