9575173
/m/02pkkjn
/m/02pkkjn
Lindsey Davis
1999
a 6
across 1
aelianus 2
alive 1
almost 1
alone 1
an 1
and 1
approaches 1
arval 1
as 2
asked 1
attempt 1
aware 1
been 1
before 1
believe 1
beset 1
body 1
brethren 2
bring 1
brother 2
by 2
candidate 1
career 1
ceremonies 1
child 1
comes 1
considered 1
continuing 1
cut 1
decides 1
didius 1
disappears 1
does 2
during 1
election 2
elopement 1
even 1
falco 3
family 3
fiancee 1
finding 1
for 4
forced 1
frightened 1
from 1
gaia 3
gain 1
had 1
has 1
he 5
helena 1
help 1
her 4
herself 1
his 7
history 1
home 1
house 1
however 2
if 1
immediately 1
in 2
investigate 1
is 5
it 1
key 1
kill 1
laelia 2
likely 1
long 1
lottery 1
marcus 1
mean 1
meanwhile 1
most 1
new 2
nighttime 1
not 2
of 7
office 1
officially 1
one 2
or 1
out 1
own 2
partner 1
place 1
plea 1
political 1
positions 1
poultry 1
preeminent 1
problems 1
procurator 1
quarrel 1
regrets 1
relation 1
religious 1
responsibilities 1
restart 1
roman 1
running 1
sacred 1
sacrificed 1
search 2
send 1
she 1
stalled 1
stumbles 1
takes 1
that 2
the 12
throat 1
time 1
to 9
tries 1
troubles 1
trying 1
unable 1
vestal 1
vigiles 1
virgin 1
wealthy 1
when 2
with 5
younger 1
