8744788
/m/027h5tz
/m/027h5tz
Alistair MacLean
1958
161 1
a 2
advancing 1
against 1
aimed 1
already 1
an 1
and 3
are 2
at 1
back 1
begins 1
bitterness 1
bombers 1
but 1
by 2
city 1
civilians 1
cover 1
dawn 1
disasters 1
dive 1
divides 1
edition 1
far 1
few 1
first 1
fontana 1
from 1
hatred 1
hellbent 1
is 1
japs 2
murderous 1
nightmare 1
nurses 1
of 4
one 1
ordeal 1
other 1
out 1
party 1
picking 1
quay 1
refugees 1
rubble 1
sea 1
sees 1
shattered 1
ship 1
singapore 1
smoking 1
soldiers 1
struggling 1
succession 1
sun 1
surrendering 1
survive 1
survivors 1
the 9
their 2
them 2
themselves 1
through 1
thus 1
to 3
towards 1
tropical 1
unrelenting 1
way 1
whose 1
with 1
wrought 1
