11914042
/m/02rxs4n
/m/02rxs4n
Paul Auster
2007-01-23
a 4
about 1
all 1
along 1
alternate 1
an 4
and 7
another 1
arrived 1
as 2
been 1
begins 1
blank 1
brings 1
call 1
camera 1
cant 1
cell 1
chamber 1
characters 1
circumstances 1
clicks 2
confinement 1
crimes 1
day 1
desk 2
determining 1
disoriented 1
doesnt 1
each 1
every 1
examining 1
exit 1
familiar 1
finds 1
for 3
from 1
frustrating 1
has 2
haunting 1
have 1
he 6
him 2
hints 1
his 5
how 1
identified 1
identity 1
in 5
is 4
left 1
locked 1
man 4
manuscript 1
memory 1
method 1
microphone 1
movements 1
mr 1
nevertheless 1
no 1
of 4
old 1
on 3
only 1
or 1
overhead 1
pages 1
passes 1
past 1
people 1
photographs 1
prisoner 1
reading 1
reasons 1
recognize 1
recording 1
records 1
relics 1
remember 1
resent 1
room 1
searching 1
seem 2
set 2
some 1
someone 1
something 1
sound 1
story 1
that 1
the 12
there 1
to 4
tries 1
understand 1
unknown 1
vaguely 1
various 1
watching 1
while 1
who 2
with 1
world 1
