4749558
/m/0cl9yr
/m/0cl9yr
Robert Holdstock
1993
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
about 1
addition 1
after 1
alex 4
alexs 3
alive 1
all 1
alone 1
american 2
and 7
appear 1
appears 1
are 2
argonauts 1
as 1
at 1
babel 1
be 1
beanstalk 1
bradley 4
by 3
calm 1
can 1
close 1
clutching 1
collapse 1
communicate 1
company 1
compromises 1
confined 1
culture 1
dangerous 1
day 1
days 1
dead 1
decayed 1
develops 1
die 1
disappears 2
dramatic 1
during 1
episodes 1
escapes 1
evidence 1
expedition 1
faculties 1
father 2
feeding 1
force 1
found 1
four 1
has 1
he 7
helen 1
her 2
highly 1
his 4
hospital 3
imagination 1
in 12
into 3
introducing 1
involve 1
is 6
jack 2
james 4
jason 1
joins 1
keeton 4
kept 1
last 1
lavondyss 1
locate 2
mask 1
masks 1
may 1
mental 4
moondream 1
more 1
mythagos 2
mythic 1
myths 1
native 2
nonenglish 1
number 1
of 6
off 1
on 1
one 2
only 1
origin 1
outside 1
over 1
passes 1
physically 1
placed 1
playmate 1
presumed 1
quest 1
receives 1
relationship 1
remains 1
rendered 1
richard 4
romantic 1
ryhope 4
same 2
scene 1
scientific 1
sees 1
silverlock 1
six 1
so 1
son 2
spends 1
subsequently 1
tallis 4
that 2
the 15
this 1
through 1
time 2
to 5
tower 1
traumatized 1
turns 1
two 1
uncharacteristically 1
up 1
variations 1
when 1
which 2
while 1
who 1
with 2
wood 7
world 1
year 1
years 1
yet 1
young 1
