8805061
/m/027k9y2
/m/027k9y2
Nikos Kazantzakis
1953
155 1
188 1
a 2
added 1
after 1
against 1
and 2
as 3
athens 1
book 3
but 1
by 1
captain 1
chieftain 1
cretan 1
cretans 1
deals 1
death 2
difros 1
edition 1
empire 1
english 1
father 1
freedom 2
from 1
given 1
greek 1
in 6
inspired 1
is 3
it 1
its 1
kazantzakis 2
members 1
michalis 1
military 1
more 1
naval 1
not 1
of 2
or 2
ottoman 1
preferred 1
prominent 1
published 1
publishers 1
rank 1
rebellion 1
released 1
second 1
sense 1
society 1
subtitle 1
that 1
the 13
thought 1
title 2
titled 1
to 2
uk 1
us 1
used 1
was 4
whom 1
with 1
word 1
writer 1
year 1
