3327156
/m/095_q8
/m/095_q8
Monzaemon Chikamatsu


1 2
2 4
28 1
a 31
abacus 2
about 7
accounts 1
accusing 1
act 3
admits 1
advantage 1
afloat 1
after 1
against 1
agree 1
agreed 1
agrees 1
all 8
allow 1
almost 1
alone 1
along 1
already 1
always 1
amijima 1
an 3
and 58
announces 1
anonymity 1
another 1
any 1
anyone 1
are 5
arms 1
around 1
arrival 1
arrive 1
arrogant 1
as 15
ask 1
asks 4
asleep 1
at 14
attempts 1
aunt 3
avoid 2
away 2
back 3
bamboo 1
be 11
beating 1
because 2
been 5
before 1
begging 1
begins 4
begs 1
being 1
besides 1
best 1
between 2
bill 2
blocked 1
boastingly 1
bodies 1
body 1
bridges 1
broke 1
brother 2
buddhist 1
bundle 1
burns 1
burnt 1
business 3
busy 1
but 14
by 15
calling 1
can 2
cannot 2
case 1
cash 1
caused 1
certain 2
certainly 1
charming 1
checks 1
children 2
clear 1
cloak 1
clothes 1
cold 1
come 2
comes 2
comfort 1
comforted 1
commit 2
competed 1
concerned 1
confesses 1
confide 1
considerable 1
content 1
continues 1
contract 1
contritely 1
contrive 1
conversation 1
convicted 1
convinced 2
corrects 1
corresponding 1
could 2
creeps 1
criminal 1
crow 1
customer 2
cut 1
daich 1
daughter 1
dead 1
death 2
deep 1
deeply 2
demand 1
denies 1
deposit 1
determined 1
did 1
discover 1
discovered 1
discovers 1
distract 1
distracting 1
distraction 1
divorce 1
divorcement 1
do 2
does 5
doesnt 1
domestic 1
down 2
dowry 1
dressers 1
dying 1
elsewhere 1
emphasis 1
encased 1
end 1
endangered 1
ends 2
enough 1
even 2
everyone 2
everything 1
exactly 1
examined 1
explains 1
extended 1
extension 1
eyes 1
face 1
fact 1
fails 1
family 2
far 1
fateful 1
fault 2
faults 1
fecklessness 1
feel 1
feet 1
fickle 1
fierce 1
final 1
finances 1
financially 1
fine 1
finery 2
first 3
fishermen 1
five 1
flees 1
flour 1
follows 1
for 10
forestall 1
forget 1
formerly 1
forth 1
friends 1
frightened 1
from 4
fulfilled 1
fuss 1
garden 1
gate 3
gives 1
gloomy 1
go 1
going 1
good 2
gossip 1
gozaemon 5
gratefully 1
great 3
grief 1
grievances 1
ground 1
guesses 1
had 18
hadnt 1
hair 1
half 2
hands 1
hangs 1
happen 1
hard 1
has 2
hastily 1
hat 1
have 3
he 29
head 1
hear 1
heard 1
hears 1
heart 1
help 1
her 31
here 1
herself 4
him 16
himself 3
his 28
hold 1
honor 1
hood 1
hot 1
house 3
how 1
however 2
hurls 2
husband 2
if 5
ignominiously 1
imminently 1
implores 1
in 13
incapable 1
indeed 1
industriously 1
infatuation 1
infuriated 1
ingrate 1
inquires 1
insists 1
instantly 2
intercepted 1
into 2
intolerable 1
is 27
it 6
jihei 50
jumping 1
kamiya 2
kawachi 1
keep 2
kicks 1
kill 5
kills 1
kinokuni 1
koharu 36
kotatsu 1
kyoto 2
lack 1
lanterns 1
lattice 1
laying 1
lead 1
learns 1
least 2
leave 3
leaves 4
leaving 1
left 2
let 1
letter 3
letters 1
life 2
like 3
little 1
lone 1
look 1
looking 1
looses 1
love 1
lovers 3
loves 1
loving 1
lying 1
made 1
magoemon 10
