6931199
/m/0gxn8x
/m/0gxn8x
Clive Cussler
1984-05
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/0c3351": "Suspense"}
1000 1
120000 1
166 1
40 1
60 1
a 28
abduction 1
aboard 6
about 2
absorbed 1
acting 1
actually 1
after 1
again 1
againoff 1
against 1
agency 1
agent 5
agents 1
agreed 1
agreement 1
aid 1
al 1
alan 1
alaska 1
alhambra 1
all 1
allow 1
almost 1
along 1
ambushed 1
american 1
amie 1
amongst 1
an 6
and 42
andreyev 2
announces 3
appears 1
are 7
armed 2
army 2
arsenal 1
arta 1
as 15
assist 1
assistant 1
assumed 1
at 2
attack 1
attempting 1
attempts 2
auckland 1
audacious 1
augustine 1
automatic 1
away 1
bank 2
banned 1
barge 3
barrels 2
be 4
because 1
been 1
before 2
begins 1
being 1
belle 1
beverlywilshire 1
billion 1
billions 1
biohazard 1
biological 1
black 1
bleeding 1
bloc 2
board 3
boarding 1
boat 3
bogus 1
boiler 1
bomb 1
bore 1
bottom 1
bougainville 5
bougainvilles 4
boxcar 1
brainwashed 1
bring 1
buried 1
but 2
by 8
called 3
calls 2
came 1
can 1
cannons 1
captain 1
captives 1
cargo 1
carolina 1
carrying 3
casilighio 1
catawaba 2
causing 1
changed 2
charges 1
charleston 1
chase 1
cheat 1
clings 1
clothing 1
coast 2
codenamed 1
collapse 1
colorado 1
combination 1
comes 2
commandeers 1
companies 1
company 2
complicated 1
computer 1
confederate 1
congress 3
congresswoman 1
consent 1
contact 1
containers 1
control 3
conveniently 1
coverup 1
crab 2
crew 5
cruise 1
currency 1
current 1
cutter 1
deadly 3
death 2
deep 1
deploying 1
depths 1
derelict 1
desert 1
determines 1
detonate 1
developed 1
devised 1
diagnosis 1
dictator 1
died 1
director 1
dirk 2
disappearance 2
disappeared 1
disarmament 1
discontinued 1
discover 4
discovered 1
discovers 3
disguised 1
dispose 1
dissident 1
doctor 1
dollars 3
doublecross 2
douglas 1
dr 3
dropping 1
eastern 2
economy 1
effort 2
eight 1
elements 1
embark 1
embedded 1
embezzled 1
en 1
enemy 1
engineer 1
enlists 1
entered 1
entire 2
environmental 1
erupts 1
estelle 1
europe 1
eventually 2
every 1
everything 2
exhibit 1
expert 1
exposed 1
exposing 1
extremely 1
factfinding 1
family 1
famine 1
fathers 1
fbi 1
feared 1
finally 1
find 3
finn 1
fire 1
flashes 1
food 2
for 6
former 1
forward 1
founding 1
francisco 1
friend 2
from 9
further 1
gallons 1
gas 1
get 1
getaway 1
giordino 4
goes 1
gold 1
gone 1
government 1
grandson 1
group 1
guard 1
guards 1
had 1
hard 1
has 5
have 3
he 5
help 2
her 11
hiding 1
hightechnology 1
hijacked 1
him 3
hiram 1
his 6
historian 1
history 1
holding 1
home 1
hoping 1
horribly 1
house 4
huckleberry 1
ideal 1
immediate 1
impeach 1
implanted 1
improvised 1
in 21
inadvertently 2
information 3
ingots 1
injected 1
insurance 1
intend 2
intention 2
intercept 1
intercepts 1
intervention 1
into 3
investigate 1
iron 1
is 20
island 3
it 11
its 2
jackson 1
julie 1
julien 1
keep 1
kept 1
kgb 1
kidnap 1
kidnapped 2
kidnapping 1
kill 1
killers 1
killing 1
knowledge 1
knows 1
korean 1
koryo 1
lab 1
lastditch 1
lastminute 1
late 1
later 1
launch 1
leads 1
lee 2
leonid 2
liberty 2
line 2
liner 1
lines 1
loan 1
local 1
loren 3
louisiana 1
lover 1
madame 1
making 1
margolin 1
marie 1
marino 2
maritime 1
masks 1
massive 1
may 2
meanwhile 1
meeting 1
members 2
memories 1
men 4
mendoza 3
microchip 1
million 1
min 1
mind 2
missiles 1
missing 1
mission 2
mississippi 1
moran 2
more 3
mountain 1
moving 1
muskets 1
mysterious 3
name 2
napoleon 1
nations 1
nato 1
naval 1
near 1
negotiating 1
nerve 3
nevada 1
new 2
next 2
notice 1
now 3
numa 1
number 1
oates 1
ocean 1
of 50
off 3
office 2
on 12
one 1
only 2
onto 1
opens 1
orders 2
orifice 1
orleans 1
other 1
others 1
out 3
outside 1
over 1
overtakes 1
owned 1
ownership 1
paralyzing 1
part 3
party 1
passenger 1
perlmutter 2
pilottown 4
piracy 1
pitt 10
plan 2
poison 8
powerful 1
presidency 1
president 11
presidential 1
previously 1
pro 1
procedure 2
products 1
project 2
projects 1
protection 1
protective 1
pull 1
punctured 1
purchase 1
quarantine 1
rate 1
receive 1
recover 1
reenactors 1
refitted 1
regiment 1
remaining 1
replacements 1
rescue 4
reserve 1
responsible 1
rest 1
resulting 1
return 1
returns 1
revealed 2
revenge 1
river 1
riverboat 1
rocky 1
route 1
ruins 1
ruthless 1
s 2
san 3
saw 1
scams 1
sea 1
seamen 1
search 1
secret 2
secretary 1
security 1
senate 1
sends 1
sent 2
several 1
she 1
shift 1
ship 9
shore 1
side 1
similar 1
sinks 1
six 1
sixth 1
skin 2
smith 3
smooth 1
smuggled 1
sneak 1
soon 1
source 1
south 1
soviet 7
soviets 4
speaker 2
spreading 1
st 1
state 1
states 4
stern 1
steward 1
stonecold 1
stonewall 1
story 1
strikingly 1
success 1
succession 2
suit 1
sunk 1
sunken 1
symptoms 3
take 1
teller 1
tempore 1
termed 1
than 3
that 17
the 131
their 6
them 5
themselves 1
then 1
there 1
they 7
this 1
those 2
thoughts 1
three 2
through 3
tie 1
times 1
titanium 1
to 47
tong 2
too 1
topsecret 1
trace 1
troops 3
turned 1
turns 1
twentythree 1
two 1
unauthorized 1
unaware 1
under 2
undergo 1
unfortunately 1
union 1
united 4
up 1
use 2
uses 1
using 1
verge 1
vice 2
volcano 1
vows 1
wallace 3
was 6
waters 2
way 2
weapon 3
weapons 1
wearing 1
web 1
well 4
what 2
when 5
where 1
which 4
while 6
white 2
who 5
whole 1
will 1
with 8
without 2
witnesses 1
worst 1
worth 1
wreck 1
yacht 1
yaeger 2
years 1
zealand 1
