736673
/m/036_gm
/m/036_gm
Robertson Davies

{"/m/02xlf": "Fiction"}
31 1
a 6
along 1
also 1
although 1
an 1
and 8
anonymous 1
as 3
at 3
be 1
bellman 4
between 1
book 1
both 1
bridgetower 3
by 1
case 3
cathedral 1
characters 2
circle 1
climactic 1
community 1
confines 1
considering 1
consults 1
creates 1
directed 1
dubbed 1
due 1
editor 1
engagement 1
entering 1
explores 1
false 2
family 2
father 1
feud 1
for 3
gather 1
gloster 1
go 1
guilt 1
he 3
held 1
her 1
himself 2
his 4
hoax 1
however 1
identity 1
in 3
innocence 1
insult 1
into 1
is 8
it 1
judgement 1
lawyer 2
libel 1
local 2
longtime 1
looked 1
major 1
minor 1
mrs 1
much 1
newspaper 2
not 1
notice 3
novel 2
november 1
of 5
offers 1
on 1
otherwise 1
out 1
outraged 2
partner 1
pearl 2
person 1
personal 1
place 1
principal 1
professor 1
published 1
pursue 1
quest 1
relative 1
responsible 1
revealed 1
ridley 2
says 1
scene 1
several 1
she 1
snelgrove 2
solly 1
starts 1
stir 1
such 1
sue 1
suggests 1
take 1
takes 1
that 2
the 24
themes 1
they 1
this 1
threatens 1
through 1
to 5
vambrace 3
victim 1
wedding 2
where 1
who 2
wife 1
with 4
x 2
