612229
/m/02wgyk
/m/02wgyk
Gregory Keyes

a 15
able 4
accesses 1
actions 1
admiral 1
adventure 1
adventures 1
affected 1
after 1
afterwards 1
again 1
against 1
all 1
allies 1
allows 1
already 1
also 2
anakin 8
and 25
anor 1
another 2
antilles 1
apparent 2
are 6
arrested 1
arrive 1
as 11
at 4
attack 1
attacked 1
attacking 2
averting 1
avoid 1
baby 1
back 5
banish 1
battle 1
be 2
becomes 1
been 1
before 2
being 1
ben 2
biological 1
born 1
both 1
bounty 1
brief 1
build 1
but 9
by 8
call 2
came 1
can 1
cant 1
cargo 1
carries 1
child 2
civilians 1
comes 2
concentrates 1
conclusion 1
concoct 1
considering 1
continue 1
coomb 2
corran 5
corridor 1
cortex 2
coruscant 1
could 1
darkspace 2
deadly 1
deal 1
death 3
decision 1
declared 1
defending 1
desperate 1
despite 2
destroy 1
destruction 1
developing 1
die 1
dies 1
different 1
discovered 1
discovers 1
do 1
does 1
domain 1
dont 1
doomed 1
drops 1
durron 2
dying 2
each 1
efforts 4
eighth 2
elsewhere 1
emotionally 1
encounter 1
end 2
enemies 2
eriadu 3
errant 3
escape 4
even 1
exist 1
experiments 1
fails 1
familiar 1
father 1
fellow 1
fifth 1
finally 1
find 2
first 2
five 1
fleet 5
focuses 3
for 8
force 2
forces 3
forward 1
fourth 1
friends 1
from 8
fugitives 1
further 4
future 1
galactic 1
galaxy 1
general 1
get 1
giant 1
go 1
goal 1
gods 1
going 1
had 2
halt 1
han 1
has 4
have 3
he 5
head 1
help 6
helping 1
her 13
heresy 1
heretical 2
herself 1
him 4
himself 3
hindered 1
his 4
horn 1
however 1
hyperspace 1
ideals 1
in 29
including 1
indigenous 1
infiltrate 1
infiltrating 1
into 2
invasion 5
is 7
it 8
jacen 2
jaina 5
jamaane 1
jedi 4
julevian 1
just 2
justifies 1
kae 2
kelbis 1
kill 1
kiss 1
knows 1
krefey 1
kwaad 4
kyp 5
lah 1
larger 1
late 2
learns 1
leave 1
led 1
left 1
legendary 1
light 1
likes 1
luke 6
made 1
make 2
manage 3
mara 4
master 2
meant 1
meanwhile 1
meet 2
meeting 1
merely 2
mezhan 3
midst 3
military 1
minimum 1
months 1
move 1
much 1
named 2
nen 2
never 1
new 4
newborn 1
no 2
nom 1
nothing 1
novel 4
now 2
nu 2
number 1
obvious 1
obviously 1
of 23
offered 1
on 9
one 2
onimi 1
order 6
other 3
others 1
out 4
overall 2
overlord 1
people 1
pickup 1
pinnacle 1
place 1
planet 2
police 1
population 1
prepares 1
presence 1
pressure 1
previous 1
previously 1
problem 2
proceeding 1
proclaimed 1
progress 1
prompted 1
protocols 3
prove 1
provong 1
pull 1
pulls 1
punish 1
put 2
qahsa 2
quickly 1
rather 2
reach 1
reached 1
reaches 1
reaching 2
recon 1
reconcile 1
regarding 1
relationship 1
rendezvous 1
repairing 1
republic 6
respond 1
response 2
result 1
returns 1
reveals 2
revert 1
ridiculous 1
routine 1
same 1
save 3
saying 1
scouted 1
sends 1
separate 1
separated 1
sernpidal 3
several 1
shamed 1
shaper 3
shared 1
shimrra 2
ships 2
should 1
since 1
skywalker 2
slaps 1
solo 4
solos 2
some 2
son 1
soon 1
special 1
spore 2
stability 1
stance 1
starts 1
stories 1
story 3
superweapon 4
supporters 2
supposed 1
supreme 1
system 4
tahiri 7
take 3
taking 1
technology 1
tell 1
tells 1
than 1
that 21
the 84
their 13
them 2
themselves 1
then 1
there 1
they 10
this 2
threaten 1
threatens 1
through 1
throughout 1
thus 1
time 4
to 46
too 1
traest 1
traveling 1
trouble 1
trying 3
tsavong 1
turns 1
up 3
using 2
vainly 1
veila 1
venture 3
virus 3
vong 17
vows 1
wake 3
wanted 1
war 2
warmaster 1
warriors 1
was 2
wedge 1
well 1
were 2
what 3
when 2
where 1
whisper 1
who 2
whom 1
wife 1
will 1
with 8
within 1
worldship 5
worse 1
yagdhul 5
yim 6
yuuzhan 11
