14719038
/m/03gvcq5
/m/03gvcq5
Wanda Gág
1928
{"/m/016475": "Picture book", "/m/0dwly": "Children's literature"}
a 4
able 1
after 1
all 3
an 2
and 8
apparently 1
are 1
arrives 1
as 1
asking 1
attacked 1
author 1
away 1
back 2
bathe 1
be 1
beautiful 3
because 1
billions 2
bring 2
brother 1
but 1
by 1
care 1
cat 5
cats 12
consider 1
couple 2
covered 1
days 1
decide 2
didnt 1
dismayed 1
done 1
each 2
eaten 1
elderly 1
enormous 1
everywhere 1
exactly 1
far 1
feed 2
fight 1
finds 1
following 1
for 1
frightening 1
from 1
fury 1
grass 1
grow 1
had 1
hadnt 1
handlettered 1
he 4
her 3
here 1
hiding 1
hillside 1
him 1
his 1
home 5
house 1
hundreds 1
husband 2
immediately 1
in 4
incites 1
into 2
is 5
it 6
itself 1
jealous 1
kind 1
kittens 1
letting 1
lonely 1
love 1
lovely 1
man 3
millions 1
most 1
no 1
notices 1
of 12
off 1
old 2
one 4
other 3
out 1
outside 1
overlooked 1
pass 1
patch 1
phrase 1
prettiest 1
pretty 1
question 1
quiet 1
ran 1
realize 1
realizing 1
repeated 1
rhythmic 1
search 1
seems 1
sets 1
several 1
should 1
sign 1
skinny 1
sleek 1
so 4
soon 1
stay 1
story 2
suggests 1
survived 1
take 1
tall 1
tells 1
text 1
that 2
the 21
their 2
them 1
then 1
there 2
they 5
theyd 1
this 2
thousands 1
throughout 1
times 1
to 6
traveling 1
trillions 2
unable 1
up 1
venture 1
very 1
walks 1
wanted 1
wants 2
watching 1
what 1
when 2
which 2
who 1
wife 3
with 2
woman 1
wont 1
you 1
