7378352
/m/025_vsn
/m/025_vsn
Russell Hoban
1974
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense"}
a 4
abstract 1
adults 1
adventure 1
advertising 1
an 1
and 4
as 1
attempts 1
author 1
being 1
better 1
brush 1
by 1
central 1
character 2
commented 1
concepts 1
conversations 1
copywriter 1
creative 1
creativity 1
desirable 1
detailing 1
embark 1
ends 1
eponymous 1
fired 1
for 1
from 1
get 1
has 1
he 1
healthy 1
himself 1
his 2
hoban 2
holds 1
hospital 1
hypotenuse 1
i 1
illness 1
in 3
is 2
job 1
kleinzeit 4
many 1
master 1
me 1
most 1
novel 1
of 2
on 1
second 1
shares 1
sister 1
skewed 1
story 1
strange 1
struggles 1
tended 1
the 4
there 1
they 1
think 1
title 1
to 2
together 1
traits 1
up 1
urges 1
variety 1
when 1
which 1
with 4
