4677736
/m/0cgwm_
/m/0cgwm_
Barbara Mertz
1981
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
a 6
aching 1
adventures 1
amateur 1
american 1
an 2
and 4
appears 1
are 2
arrive 1
as 1
asks 1
assisting 1
assortment 1
at 3
baskerville 2
becomes 2
before 1
bork 2
but 1
by 1
characters 2
closest 1
compound 1
continue 1
curse 1
cyrus 1
desecrate 1
died 1
egypt 1
egyptologist 1
egyptologists 1
either 1
else 1
emerson 1
emersons 4
employees 1
england 1
eventually 1
excavation 1
excuse 1
expert 1
find 1
finding 1
finish 1
fly 1
for 1
friend 1
get 1
her 1
hieroglyphs 1
home 2
husband 1
in 4
into 1
introduced 1
is 3
just 1
karl 1
keep 1
kevin 1
kings 1
lady 1
leaving 1
luxor 1
mysteriously 1
near 1
no 2
number 1
oconnell 2
of 4
on 1
one 1
opening 1
or 1
other 2
out 1
outlet 1
over 1
overeager 1
professor 1
ramses 1
recurring 1
region 1
reporter 1
reporters 1
return 2
rumors 1
sick 1
son 1
started 1
stories 1
the 12
their 2
them 1
those 1
three 1
through 1
to 6
tomb 3
trying 1
until 1
usually 1
valley 1
valuable 1
vandergelt 2
von 1
wealthy 1
who 4
will 1
years 1
