14019253
/m/03cr4j1
/m/03cr4j1
Alistair MacLean
1983
{"/m/01jfsb": "Thriller"}
1 1
2 1
a 6
about 1
airport 2
all 1
also 1
amsterdam 2
an 2
and 4
another 1
are 2
as 1
been 2
beneath 1
bomb 1
bombs 1
book 1
boss 1
british 1
bursts 1
called 1
causing 1
changed 1
chief 1
connections 1
criminal 1
de 1
demands 1
destroyed 1
detective 1
detonate 1
detonated 1
dutch 3
dykes 1
effen 2
fff 2
flooded 1
flooding 2
fokker 1
forces 1
friendship 1
from 2
fuzzyminded 1
gang 1
graaf 1
had 1
has 2
hidden 1
his 1
holland 1
hoogwater 1
humor 1
ie 1
immediate 1
in 4
ireland 1
irish 1
is 2
known 1
lieutenant 2
man 1
many 1
massive 1
met 1
military 1
more 1
netherlands 1
north 1
northern 1
not 1
of 6
on 1
one 1
only 1
operative 1
or 1
organization 1
peter 1
plot 1
police 1
remarkably 1
runway 1
sabotage 1
sardonic 1
schiphol 2
sea 1
sense 1
sets 1
talents 1
terrorist 1
terrorists 1
the 9
their 1
they 1
threaten 1
to 3
translation 1
undercover 1
unless 1
van 2
version 1
wall 1
water 1
way 1
which 1
with 2
withdrawal 1
