4691204
/m/0chk8q
/m/0chk8q
Jeff Long

140s 1
20000 1
a 37
about 2
across 2
act 1
activities 1
actually 1
after 3
age 1
ago 1
aim 1
albino 1
ali 2
allowing 1
almost 1
also 1
ambush 1
among 1
an 10
ancient 1
and 18
apparently 1
applies 1
archaeological 1
are 8
armies 2
army 2
as 9
assaulted 1
assembling 1
assume 1
at 4
atlantis 1
atrocities 1
attached 1
attack 1
attacked 1
authority 1
aviation 1
away 1
back 1
badly 1
base 1
basin 1
be 3
becoming 1
been 2
before 1
begin 1
begins 3
being 3
beings 1
beowulf 2
bioweapon 1
blizzard 1
bloody 1
body 3
bosnia 1
both 1
branch 3
brutal 1
brutally 2
built 1
but 3
by 12
call 1
casualties 1
cave 4
caves 1
changes 1
chapter 1
circle 3
cities 1
civilization 3
civilizations 1
classified 1
coins 1
colonization 1
commonly 1
concepts 1
consciousness 1
contains 1
converge 1
coordinated 1
corporation 1
corpse 1
correspond 1
covered 1
crash 1
crashed 1
crust 1
cryptic 1
decade 1
decaying 1
dedicated 1
deep 2
deeper 1
deformed 1
degenerate 1
demons 2
descended 1
descending 1
descent 2
destroy 1
diagram 1
diminishes 1
directing 1
discovering 3
discovers 2
dismay 1
displayed 1
disturbed 1
do 1
dramatic 1
during 2
earth 1
ecosystem 1
edge 1
effective 1
elias 1
elsewhere 1
elusive 1
emerged 1
emerges 1
encampment 1
encroachment 1
enemy 2
english 1
enormous 1
enormously 1
enslaved 1
entire 2
erectus 1
essentially 1
even 1
eventual 1
every 1
evidence 4
excavating 1
exhibit 1
exist 1
expedition 3
exploitation 1
exploration 1
exploring 2
far 1
father 1
few 2
finds 1
fire 1
first 2
fissure 1
fleeting 1
flight 1
floor 1
folklore 1
for 3
force 1
forensic 1
former 1
found 1
from 5
full 1
funded 1
gather 1
giving 1
glimpses 1
god 1
gold 1
gradually 1
grave 1
greater 1
group 3
grows 1
guarded 1
guarding 1
guide 1
guided 1
guides 1
had 8
hadal 2
hadalis 1
hadals 5
haddie 1
hades 1
halfmad 1
has 1
have 2
having 1
he 4
helios 3
hell 1
her 3
high 1
himalayan 1
himalayas 1
himself 1
his 3
history 1
hominids 1
homo 2
horror 1
how 1
huge 1
human 7
humanity 1
humanoids 1
ike 2
imagery 1
immortality 1
in 13
increasingly 1
informal 1
initial 1
injured 1
instability 1
instrumental 1
interest 2
interior 1
interprets 1
into 1
invisibly 1
iron 1
is 11
it 2
jesuit 2
join 1
journey 1
kalahari 1
killed 1
kind 1
kora 1
labyrinth 1
larger 1
largescale 1
later 2
leading 1
leads 1
leave 1
leper 1
lepers 1
letting 1
level 1
life 1
literal 2
local 1
longterm 1
lost 1
made 1
mass 1
massive 1
may 3
mean 2
meanwhile 2
melting 1
member 1
members 2
menaced 1
mentored 1
mercenaries 1
method 1
might 2
miles 1
military 1
militaryled 1
monstrously 1
months 1
mountain 1
mountains 1
mu 1
multinational 1
mummified 1
murdered 1
mutilated 2
mysterious 2
mystery 1
named 1
narrative 1
navigator 1
near 1
necessarily 1
nepal 1
network 3
newage 1
newlydiscovered 1
night 1
no 1
not 2
number 1
nun 1
occasionally 1
occupying 1
ocean 1
of 31
off 1
offers 1
officer 1
olderthanold 1
on 3
once 1
oncegreat 1
one 2
onebyone 1
only 2
open 1
or 2
organization 1
other 1
outlet 1
own 1
pacific 1
part 1
party 3
pejoratively 1
person 1
persuades 1
physical 1
pilot 2
place 1
planet 1
plot 1
point 1
possessed 1
potent 1
presence 1
presently 1
priest 1
pushes 1
quartermillion 1
quickly 1
race 1
raf 1
rare 1
rather 1
raves 1
reached 1
recommences 1
reconnaissancehelicopter 1
recovered 1
recuperation 1
referred 2
refers 1
relentlessly 1
remain 1
remains 1
rise 1
same 1
satan 1
satellite 1
saved 1
scarred 1
schade 1
scholarly 1
scholars 1
scientists 2
select 1
separated 1
separatelyevolved 1
serb 1
servants 1
settlement 1
several 2
she 3
shock 1
shows 2
side 1
signs 1
slaughtered 1
slave 1
snowstorm 1
social 1
soldiers 4
some 1
space 1
spent 1
spring 1
sterilize 1
storylines 1
study 1
stumble 1
subplanet 4
successful 1
such 1
suggests 2
supporting 1
surface 2
symbols 1
system 1
systems 1
taking 1
tattoos 2
team 1
term 1
that 9
the 72
their 3
theorize 1
thereby 2
these 1
they 3
this 1
thomas 1
though 1
three 1
through 2
throughout 1
time 1
title 1
to 20
tour 1
trading 1
trail 1
transferring 1
trap 1
trapped 2
traverses 1
trek 1
trekkers 1
trogloxenic 1
trophylike 1
trying 1
two 1
un 1
uncovers 1
undecipherable 1
underlying 1
undeterred 1
unified 1
unit 1
unknown 1
unprecedentedly 1
unseen 2
until 1
untrustworthy 1
up 1
upper 1
us 1
van 1
vast 1
viciously 1
was 1
way 1
wears 1
whether 1
which 5
while 2
who 2
whole 1
with 3
within 1
working 1
world 2
worldwide 1
years 3
young 1
