24648861
/m/080pw5j
/m/080pw5j
Herta Müller
1993
{"/m/05hgj": "Novel", "/m/01jym": "Bildungsroman"}
a 11
acquire 1
acting 1
activitiesharbouring 1
affair 1
after 3
all 1
also 1
although 1
an 3
and 19
anonymous 1
another 1
apparently 1
are 3
arrives 1
as 5
at 1
attend 1
banned 1
become 2
becomes 3
befriends 1
began 1
begins 1
betrayed 1
between 1
blackedout 1
book 1
books 1
brutish 1
buses 2
but 1
by 4
captain 2
carry 1
ceremony 1
character 1
clear 2
closet 1
code 1
college 2
commits 1
committed 1
communist 1
conforms 1
construction 1
contact 1
country 2
crude 1
death 1
demands 1
denounced 1
deserted 1
diary 3
discuss 1
do 2
dog 1
dont 1
dormitory 1
each 1
edgar 3
efforts 1
ends 2
engage 1
escape 2
even 2
experiences 1
factory 2
fifth 1
first 3
five 2
fleeing 1
fools 1
for 3
found 2
four 2
frankfurt 1
friends 1
from 2
georg 2
german 2
germany 2
girl 1
girls 1
go 2
graduation 1
gym 1
hanged 1
hanging 1
has 2
having 2
he 2
her 5
his 1
home 1
hotel 1
humming 1
in 15
including 1
instance 1
interested 1
interrogations 1
introduced 1
is 6
it 3
jobs 2
joins 1
jumping 1
kurt 3
later 1
left 1
letters 2
life 1
likewise 1
lives 1
lola 6
longer 1
lose 1
mail 1
make 1
male 1
manuals 1
member 1
men 1
menial 1
mildly 1
miserable 1
more 1
named 1
narrator 6
night 1
no 1
novel 1
of 9
officer 1
on 1
one 1
opened 1
orders 1
other 1
ourselves 1
out 1
part 1
partly 1
party 2
passage 1
passports 1
photographs 1
pjele 2
political 1
possessions 1
prison 1
prisoners 1
publicly 1
quickly 1
read 1
reader 1
reasons 1
receiving 1
records 1
regime 1
regular 2
relating 1
remain 1
remains 1
returning 1
riding 1
romania 1
room 1
said 1
same 1
school 2
scraps 1
searched 1
securitate 2
separate 1
sex 1
shares 2
she 3
sites 1
slaughterhouse 1
so 1
society 1
songs 1
soon 2
speak 1
still 1
subject 1
subversive 1
suicide 2
suitcase 1
summerhouse 1
supervisor 1
supposedly 1
take 1
taking 1
teacher 1
tereza 1
that 2
the 30
their 5
them 2
they 6
this 1
threatened 1
threats 1
three 1
through 1
thus 1
to 8
totalitarian 1
town 1
translates 1
unbearable 1
unsuitable 1
very 1
visits 1
ways 1
we 4
weeks 1
well 1
when 3
which 1
who 1
window 1
with 5
work 1
working 1
works 1
world 1
writing 1
young 1
