6786578
/m/0gnvpm
/m/0gnvpm
Michael Hoeye
2004-07-10
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
adventures 1
after 1
and 2
as 1
back 1
being 1
black 1
blackmailed 1
business 1
but 1
desert 1
ends 1
finding 1
fluster 3
for 1
from 1
he 1
help 1
hermux 3
hero 1
his 3
impresario 1
in 2
invitation 1
is 3
life 1
mailed 1
modest 1
mysterious 1
needs 1
new 1
normal 1
of 1
our 1
out 1
pinchester 1
receives 1
return 1
save 1
saving 1
show 2
the 4
theater 1
theatre 1
to 4
trying 1
up 1
variety 1
varmint 2
watchmaker 1
weirdness 1
who 1
whole 1
world 1
