769446
/m/039_mt
/m/039_mt
Anne McCaffrey
1976-03
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
adjusting 1
after 1
against 1
and 4
apprentice 2
are 1
as 2
at 2
away 1
baby 1
be 1
because 1
been 1
benden 1
branth 1
brown 1
by 3
care 1
caught 1
cave 1
caveand 1
civilization 1
community 1
daughter 1
day 1
defense 1
dies 1
discovered 1
discovers 2
dragon 1
dragonrider 1
dragons 1
encouraged 1
express 1
falling 1
family 1
father 2
finding 1
fire 1
firelizards 1
fishing 1
for 4
foraging 1
forbids 1
forced 2
frantically 1
freed 1
from 4
gifted 1
great 1
halfcircle 1
hall 1
harper 2
has 1
hatching 1
he 1
her 11
him 1
his 3
holder 1
home 1
impressed 1
in 3
independent 1
indulges 1
is 8
isolated 1
learns 1
liberal 1
life 1
lifestyle 1
lizards 1
masterfisher 1
masterharper 2
menolly 4
music 1
musical 2
musician 1
mystery 1
nine 1
of 5
offers 1
one 1
out 1
passion 1
pern 2
petiron 3
place 1
precursors 1
primary 1
punished 1
quickly 1
refuge 1
rescued 1
resourceful 1
restrictive 1
robinton 1
role 1
runs 1
sea 1
seahold 1
searching 1
sent 1
she 8
songs 1
take 1
takes 1
talent 1
talents 2
tgran 1
that 3
the 10
thread 2
threadfall 1
to 6
two 1
unbearable 1
upon 1
using 1
weyr 1
weyrfolk 1
when 1
which 1
who 4
writer 1
yanus 1
youngest 1
