13762484
/m/03chhnh
/m/03chhnh
Christopher Brookmyre
2001
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/06nbt": "Satire", "/m/0c3351": "Suspense", "/m/0vgkd": "Black comedy"}
30something 1
a 3
abducted 1
aiding 1
airliner 1
airport 1
alert 1
an 5
and 4
angelique 1
antiterrorist 1
ardrain 1
are 1
as 1
ash 1
at 1
attack 2
attempt 1
baby 1
banality 1
before 1
being 2
black 2
blew 1
british 1
by 2
chance 1
cope 1
darcourt 4
de 1
decided 1
decides 1
died 1
down 1
dubh 1
ends 1
english 1
escaping 1
few 1
finds 1
foil 1
for 1
forces 1
friend 1
game 1
glasgow 1
has 1
having 1
he 2
him 2
himself 1
his 6
hydroelectric 1
idea 1
in 3
incorporating 1
international 1
into 1
is 3
it 1
learned 1
life 1
meanwhile 1
new 2
no 1
notorious 1
of 3
old 2
on 2
only 1
part 1
people 1
perform 1
plans 1
plant 1
plot 2
policewoman 1
put 1
raymond 3
reaching 1
reality 1
score 1
sees 2
settle 2
shop 1
simon 1
site 1
sold 1
spirit 2
struggling 1
supposedly 1
target 1
teacher 1
terrorist 2
terrorists 2
that 2
the 9
their 1
then 1
time 1
to 5
two 1
unknown 1
up 2
valiant 1
video 1
visiting 1
when 2
while 1
who 1
wife 1
with 4
xavia 1
years 1
