2716264
/m/07zqfx
/m/07zqfx
Mario Puzo
1990
a 8
about 1
activates 1
again 1
alive 1
all 1
ambitious 1
and 4
as 1
assassinations 1
awe 1
background 2
beaten 1
becomes 2
been 1
before 1
book 2
both 1
brutal 1
by 1
character 2
characters 1
closest 1
commercial 1
critics 1
daughter 1
decision 1
disabused 1
down 1
elected 1
embodiment 1
emphasis 1
events 1
explosive 1
failurebut 1
focused 1
forebearsgood 1
fourth 1
francis 1
has 5
have 1
he 3
heshe 2
him 1
his 5
horrorthe 1
however 1
ideals 1
in 3
is 5
it 1
k 1
kennedy 2
kept 1
large 1
leader 1
learns 1
legacy 1
look 1
looks 1
major 1
make 1
mario 1
measures 1
memory 1
most 1
my 1
never 1
novel 1
obsessively 1
of 5
office 1
on 3
once 1
optimism 1
part 1
particular 1
pawn 1
plot 1
political 1
power 1
president 1
privilege 1
process 1
prominence 1
puzo 1
reader 1
relegated 1
retaliate 1
returns 1
series 1
soon 1
stated 2
terrorist 1
thanks 1
that 1
the 11
those 1
to 7
too 1
totally 1
uncles 1
unfold 1
unlike 1
very 1
violent 1
was 2
wealthand 1
what 1
when 2
who 1
with 1
world 1
xavier 1
youthful 1
