1202130
/m/04gwr0
/m/04gwr0
Harry Turtledove
1992-09-22
1864 2
1865 1
1867 1
2014 2
20th 1
21st 2
21stcentury 1
a 17
abolition 2
about 1
accents 1
accept 1
africans 2
after 3
against 3
agree 2
agrees 1
aid 1
ak47 1
ak47s 1
albeit 1
albert 1
all 1
allowed 1
along 1
already 3
america 1
americas 1
ammunition 1
an 2
and 35
andries 2
any 1
anyway 1
approach 1
are 3
army 3
arsenal 1
as 5
assassinate 1
assassination 1
assured 1
at 4
attack 1
attempt 3
aware 1
awb 9
base 1
battle 2
becomes 1
bedford 1
begin 1
behind 1
between 1
bill 1
black 1
blacks 2
books 2
both 4
bottle 1
break 1
british 1
brought 1
brown 1
bulbs 1
by 9
call 1
campaign 2
canada 1
capable 1
capture 1
captures 1
century 3
chemical 1
chest 1
civil 1
civilians 1
claim 2
clothing 1
collection 1
colored 1
combined 1
come 1
concedes 1
condemnation 1
confederacy 5
confederate 9
confederates 1
congress 1
congressmen 2
considerable 1
considerably 1
contemporaries 1
continue 2
continuing 1
convince 2
convinced 1
counter 1
country 1
courage 1
cruelty 1
csa 3
dc 1
death 1
debate 1
decades 1
decides 1
defeat 2
demonstrating 1
despite 2
destroy 1
determine 2
devastating 1
dignitaries 1
direct 1
direction 1
document 1
dollars 1
drives 1
dubious 1
during 4
e 1
ease 1
eclipse 1
effects 1
effort 1
efforts 1
elections 2
emancipation 1
empire 1
end 1
ending 1
endure 1
endured 1
engage 1
engineering 1
engineers 1
enraged 1
enslave 1
enters 1
era 1
establish 1
even 1
far 1
fears 1
few 1
fierce 1
fighting 1
finally 1
find 1
firearms 1
for 7
forced 1
forces 5
former 1
forrest 3
fortress 1
france 1
freed 1
frequent 1
from 4
future 5
gallatin 1
general 1
generals 1
genie 1
gives 1
government 1
gradual 1
grant 2
greater 1
guerrillas 1
guns 1
had 1
has 2
have 1
he 2
headquarters 1
help 3
helping 1
hide 1
him 1
himself 1
his 5
hold 1
hope 1
hopes 1
hoping 1
impracticable 1
improves 1
in 17
inauguration 1
increasing 1
industrial 1
inexplicable 1
infantry 1
inflict 1
information 1
informed 1
into 5
invading 1
is 11
issued 1
it 2
its 2
january 1
kentucky 2
killed 1
kingdom 1
leader 1
lee 20
light 1
lincoln 1
little 1
live 1
long 1
lose 1
losing 1
lost 1
machine 1
made 1
make 1
makes 1
making 1
manages 1
many 3
marginalization 1
marvels 1
mary 1
maryland 1
may 1
meanwhile 1
meet 1
men 11
military 2
millions 1
missouri 2
modern 1
morale 1
more 1
most 1
mottled 1
much 1
narrow 1
nathan 1
nation 2
nearly 1
negotiations 1
negroes 2
never 1
new 3
newcomers 1
night 1
nitroglycerin 2
no 1
northern 2
not 1
occupation 1
oddly 1
of 24
offer 2
offices 1
official 1
on 4
operate 1
or 2
organization 1
other 1
out 2
over 1
own 1
pains 1
participating 1
parts 1
passes 1
pay 1
pills 2
plan 2
political 1
pour 2
prepare 1
president 5
principles 1
promises 1
prompting 1
proslavery 1
providing 1
questions 1
racism 1
racist 1
rally 1
recognize 1
refer 1
reluctantly 1
remain 2
remains 1
reparations 1
replica 1
replicate 1
representative 1
reproduced 1
resist 1
resources 1
respectful 1
respectfully 1
rest 1
rests 1
resulting 1
returning 1
revelationhe 1
revenge 1
rhoodie 2
richmond 2
rifle 1
rifles 1
rigging 1
rivington 6
robert 1
run 1
runs 1
secede 1
secedes 1
see 1
seized 1
shows 1
sides 1
siege 1
slave 2
slaveholding 1
slaveowner 1
slavery 3
slaves 2
social 1
soldiers 1
some 2
soon 1
south 4
southern 1
spare 1
started 1
starts 1
states 4
stranded 1
strange 1
strength 1
stronghold 1
such 1
superior 1
supply 1
supporters 1
supremacy 1
surprise 1
surprised 1
surrender 1
surround 1
sway 1
take 1
technological 1
technologicallyadvanced 1
technology 2
tell 1
that 7
the 80
their 9
these 2
they 4
this 1
though 1
thought 1
threats 1
thus 1
ticket 1
time 3
to 35
town 2
trained 1
travelers 1
treason 1
troops 2
trouble 1
truth 1
try 1
turn 1
two 1
ultimately 2
ulysses 1
union 8
united 4
universal 1
unknown 1
unless 1
unofficial 1
up 1
use 1
using 1
uzis 1
various 1
vice 1
victory 2
views 1
violently 1
virginia 4
vote 1
voters 1
war 7
washington 2
way 1
weapons 2
well 1
west 1
when 1
whether 1
which 3
white 1
whites 1
who 2
wife 1
wilderness 1
will 7
with 7
world 2
wrong 1
year 1
young 1
