16633650
/m/03yh4mw
/m/03yh4mw

1979
{"/m/03pm2b": "Autobiographical comics"}
a 10
abode 1
about 1
academic 1
acknowledges 2
activities 1
activity 1
adventures 1
after 2
also 1
an 1
and 13
ant 1
are 3
arrived 1
as 3
aside 1
at 1
back 1
baths 1
be 1
being 2
bersunat 1
birth 1
bite 1
blessings 1
boarding 1
born 1
boy 3
brings 1
but 3
buy 1
by 1
capital 1
ceremonies 2
childhood 1
circumcision 3
classes 1
comic 1
company 3
concern 1
day 1
deals 1
depart 2
discover 1
discovers 1
dredges 1
educationmdashreading 1
efforts 1
elaborate 1
emotions 1
ethnic 1
event 1
examination 1
excited 1
expecting 1
explores 1
exploring 1
family 3
father 2
finds 2
first 1
focus 1
for 8
forgo 1
formal 1
friends 2
from 2
future 1
gather 1
gradually 1
graphic 1
grows 1
has 1
he 12
highstandard 1
him 2
himself 2
his 16
home 1
hopes 2
hoping 1
house 1
houses 1
how 1
if 2
illegal 1
illustrates 1
in 12
inform 1
instead 1
interest 1
ipoh 2
is 7
it 2
joins 1
jungles 1
just 1
kampung 3
labour 1
lack 1
laments 1
land 1
large 1
lat 9
left 1
life 1
like 1
love 1
makes 1
malay 1
malaysia 1
mat 1
mine 1
miners 1
mining 2
money 1
mud 1
narrator 1
neglecting 1
negotiations 1
new 1
novel 1
observance 1
of 11
offer 1
often 1
older 1
on 2
opens 1
operation 1
ore 1
other 1
outside 1
over 2
overhearing 1
overlooked 1
pan 1
parents 3
passing 1
perak 1
pictures 1
place 1
plan 1
plantation 1
play 1
praise 1
precede 1
processions 1
properties 1
protagonist 1
proves 1
punished 1
pursuits 1
push 1
qualifying 1
quran 1
reaches 1
realised 1
recitation 1
recovering 1
religious 2
remain 1
result 1
returns 1
rewarded 1
ritual 1
rituals 1
river 1
rivers 1
rubber 1
rushing 1
sadness 1
school 1
shifting 1
shown 1
similar 1
singing 1
sometime 1
songs 1
special 1
stage 1
starts 1
state 1
story 3
studies 2
study 1
sum 1
surrounding 1
surveying 1
swimming 1
teach 1
tells 1
tenth 1
that 2
the 42
their 4
them 1
these 1
they 3
tin 3
to 11
traditional 1
trespasses 1
unchanged 1
undergoes 1
unmotivated 1
valuable 1
village 3
villagers 1
wake 1
was 1
washes 1
when 2
where 1
which 1
will 3
with 5
words 1
worry 1
year 1
young 1
