13349759
/m/03c2jbt
/m/03c2jbt
Frederic Dannay

a 3
all 1
and 5
are 1
at 1
backgrounds 1
blue 1
city 2
classes 1
come 1
common 1
connects 1
consultants 1
cords 1
determine 1
ellery 1
etc 1
ethnicities 1
finally 1
for 4
forms 1
from 1
group 1
he 1
in 1
is 4
killer 1
killing 1
killings 1
manhattanites 1
men 1
murderer 1
neighbourhoods 1
of 2
only 1
other 1
panic 1
particular 1
peace 1
people 1
pink 1
queen 1
races 1
random 1
realizes 1
reason 1
related 1
returns 1
revealed 1
seemingly 1
selecting 1
silk 1
small 1
social 1
some 2
strangler 1
than 1
that 3
the 11
these 1
thread 2
to 3
together 1
unusual 1
used 1
victims 4
when 1
women 1
works 1
