18721536
/m/04gjvb4
/m/04gjvb4
Sophie Kinsella
2007
a 20
aback 1
about 1
act 1
actions 1
admits 1
after 3
against 2
already 1
also 2
an 3
and 24
angered 1
anticipating 1
any 1
appointment 1
arcodas 2
are 1
arrival 1
arrives 2
arriving 1
art 1
as 5
assist 1
at 5
attends 1
baby 5
back 3
bambino 1
be 2
because 2
becky 23
been 1
before 1
behavior 1
being 5
between 1
biggest 1
birth 2
birthing 1
bladder 1
boring 1
boy 1
boyfriend 1
braine 1
brainewhom 1
brings 1
broken 1
business 1
but 5
buy 1
by 1
can 1
caring 1
carter 1
catch 1
catches 1
celebrity 1
center 1
check 1
child 2
closer 1
company 2
confesses 1
confront 1
convinces 1
couple 2
crib 1
dancing 1
dealing 1
decide 1
denies 1
detective 1
difficulty 1
disbelief 1
discovers 1
dismisses 1
do 3
doesnt 2
dont 1
dr 2
drab 1
drastically 1
due 1
early 1
else 1
end 1
environmentallyconscience 1
equipment 1
even 2
everyone 1
exgirlfriend 1
explains 2
extremely 2
family 3
far 2
find 4
finding 1
finds 2
first 2
flat 1
flirtatious 1
for 9
forward 1
friend 1
friendhsip 1
friends 1
from 3
get 1
getting 1
girl 1
gives 1
go 2
goes 2
going 1
grows 1
happily 1
has 7
have 3
having 1
he 8
hears 1
heavily 1
her 19
herself 2
hire 1
his 8
home 2
hospital 1
house 1
hurt 1
improved 2
in 10
initially 1
involvement 1
is 10
it 7
jeopardize 1
jess 2
jumps 1
just 1
keep 1
know 1
la 1
labor 1
last 1
learns 1
leave 1
life 2
like 2
liked 1
lives 1
looking 1
lost 1
lot 1
love 1
luke 19
lulu 1
make 1
marriage 1
married 1
marrying 1
meant 1
meets 1
men 1
minnie 2
miserable 1
mistake 1
moment 1
months 2
morale 1
more 3
moved 1
name 1
named 1
never 1
new 2
newborn 1
note 1
novel 1
now 1
obstetrician 3
obstetricians 1
of 8
off 1
oldfashioned 1
on 2
order 3
orders 1
original 1
other 1
out 5
own 1
parents 1
partnership 1
party 2
passes 1
penchant 1
persists 1
personal 1
place 1
plans 2
plot 1
pregnancy 2
pregnant 1
preparing 1
presumed 1
pretends 1
private 1
progresses 1
puts 1
qualifications 1
question 1
questions 1
real 1
reason 2
recently 1
recycled 1
relationship 2
revealed 1
romantic 1
room 3
sent 1
several 1
sex 1
she 15
shocked 2
shoe 1
shopaholic 1
shopping 1
shower 1
significant 1
sill 1
sister 1
so 1
sold 2
someone 1
sonogram 1
sonographer 2
soon 1
specific 1
spitefully 1
start 1
state 1
stick 2
stress 1
surprise 1
suspicious 2
suze 1
switching 1
taken 1
takes 1
tells 3
than 1
that 11
the 24
their 3
then 2
they 5
things 1
thinks 2
though 2
time 1
to 31
together 1
toward 1
trying 1
turns 1
ultrasound 1
under 1
unfortunately 1
until 1
up 3
use 1
using 1
venetia 16
want 1
wants 3
was 7
went 1
were 1
what 2
when 2
while 4
who 1
whom 1
why 1
wife 1
wipes 1
with 14
