2342511
/m/0753gz
/m/0753gz
Hanif Kureishi
1990
113 1
170s 2
2001 1
70s 1
a 16
about 1
active 1
afraid 1
almost 1
already 1
also 1
am 1
amir 1
an 5
and 15
announces 1
are 4
as 4
assault 2
associated 1
at 2
autobiographical 1
away 2
back 1
backgrounds 1
bart 1
be 3
because 1
becomes 1
before 1
begins 1
believe 2
bildungsromane 1
bongos 1
book 1
boring 1
born 1
bred 1
buddha 4
buddhalike 1
bureaucrat 1
but 1
by 7
can 1
character 1
characterisations 1
characters 2
chiswick 1
city 3
climber 1
climbing 1
cloaks 1
companies 1
completely 2
conflicts 1
conservatism 1
contact 2
could 1
day 2
described 1
desperate 1
different 3
dilemmas 1
direct 1
director 1
discovered 1
distractions 1
do 1
does 2
doors 1
education 1
either 1
eleanor 2
ends 1
englishman 1
era 1
erotic 1
escape 1
eva 3
even 2
ever 1
examples 1
exotic 1
expectations 1
experiences 2
family 1
far 1
father 1
fields 1
fire 1
first 2
follows 1
for 4
foreign 1
forward 1
free 1
from 3
furthermore 1
geographically 1
gets 1
gladly 1
good 1
great 1
grey 1
group 1
growth 1
guru 1
had 1
hands 1
has 1
have 1
he 7
her 2
high 1
higher 1
him 3
himself 2
his 7
homemdashseems 1
hungry 1
hyde 1
i 1
identity 1
ignored 1
im 1
immigrant 1
important 1
in 19
inch 2
indian 1
influence 1
initiation 2
into 1
introduces 1
is 16
islington 1
it 6
its 1
itself 2
join 1
just 1
karim 7
keyboard 1
kids 1
know 1
kureishi 5
language 1
later 2
latter 1
leaves 1
leaving 1
left 1
lies 1
life 1
light 1
like 3
lived 1
lives 1
living 1
london 13
londonmdasheven 1
looking 1
lover 1
main 1
make 2
mark 1
maturity 1
middleclass 1
mixedrace 1
months 1
mooregilbert 1
motif 1
move 2
moving 1
music 1
must 1
my 2
name 1
new 3
not 6
nothing 1
novel 2
novels 5
odyssey 1
of 15
often 1
on 5
once 1
one 2
opera 1
opportunity 1
or 3
other 1
outcome 1
over 1
page 1
painful 1
park 1
part 1
party 3
people 3
perfect 1
pilgrimage 1
place 1
planning 1
playing 1
political 1
pop 1
portrays 1
prejudice 1
pretends 1
problems 1
protagonists 1
pyke 1
question 1
racism 1
range 1
reader 1
realises 1
received 1
reinforced 1
returning 1
role 1
roots 1
said 1
same 1
say 1
see 1
seems 1
set 1
setting 1
sexual 1
she 3
so 1
soap 1
social 2
society 1
son 1
sound 2
soundtrack 1
south 1
speaking 1
started 2
stays 1
strange 1
struggle 1
suburb 1
suburban 1
suburbia 1
suburbs 2
suddenly 1
surprising 1
surrounding 1
take 1
takes 2
teenager 1
ten 1
terry 1
that 5
thatcher 1
thatcherism 2
the 38
theatre 3
their 3
theme 1
themes 1
then 1
there 4
therefore 1
these 1
they 2
this 2
though 3
through 4
throughout 1
time 1
to 12
too 1
towards 1
trotskyist 1
tv 1
two 1
under 1
unlikely 1
upper 1
valuable 1
velvet 1
verge 1
very 1
wandsworth 1
wants 1
war 1
was 8
welshman 1
were 1
when 2
which 2
who 4
with 4
within 1
work 1
workingclass 2
world 1
writing 1
york 1
