1999184
/m/06czmg
/m/06czmg
Philip Roth

34highbrow 1
34sucks 1
34tricky 1
34vice 1
3charming3 1
a 11
abortion 3
academic 1
acts 1
after 1
against 2
agnew 1
all 1
an 5
and 6
answer 1
are 4
as 6
asked 1
asks 1
assassinated 1
asslick 1
at 2
background 1
baggie 1
baseball 1
be 1
been 2
begin 1
being 2
blame 1
book 1
boy 1
but 2
by 2
cabinet 1
call 1
called 1
calley 7
campaigning 1
case 1
chapter 4
chapters 1
charming 1
citizen 3
city 1
coach34 1
comforts 1
committed 1
communicated 1
compared 1
compatriots 1
concerned 2
conference34 1
copenhagen 1
corpse 1
could 2
course 1
covering 1
curt 1
daring 4
dc 1
defend 1
defends 1
denmark 1
deny 1
devil 1
did 1
discussion 1
ditch 2
dixon 5
drowned 1
e 1
ends 1
entitled 2
esnuestra 1
etc 1
eventually 1
evidence 1
fact 1
factors 1
female 1
fetal 1
filled 1
flood 1
following 1
for 2
form 1
from 3
giant 1
give 1
given 1
gives 1
giving 1
gland 1
group 1
hardtopindown 1
have 6
he 4
hell 1
henry 1
her 4
his 7
holds 1
how 1
hypothetical 1
if 5
iffy 1
in 16
indeed 1
instanceisnt 1
intercourse 1
investigative 1
involved 1
is 7
isnt 1
it 2
journalism 1
killed 1
killing 1
kissinger 1
know 1
lai 2
lawyer 1
lawyers 1
lieutenant 1
lip 1
long 1
manages 1
managing 1
many 1
may 3
media 1
meekly 1
miss 1
more 2
mr 6
much 1
murder 1
my 2
name 1
names 1
nation 1
nature 1
nixon 1
nixonian 1
not 3
notion 1
novel 1
novela 1
obliterate 1
of 11
often 1
on 1
one 1
only 1
operation 1
or 2
outright 1
pandilla 1
particularly 1
personalities 1
pin 1
player 1
point 1
political 1
politics 1
poses 1
position 2
possibility 1
practical 1
pregnant 5
president 2
presidentwhat3shisname34 1
press 1
process 1
provoking 1
purely 1
question 2
questions 1
rather 1
really 1
reasons 1
reflect 1
remember 1
remove 1
reporter 1
reporters 2
respectful 1
respective 1
rights 1
riot 1
roth 1
satan 1
satirizes 1
scouts 1
seems 1
seriously 1
sexual 1
she 1
shot 1
showing 1
shrewd 1
situation 2
six 1
slightly 1
some 1
spiro 1
starting 1
stereotyped 1
style 2
suggested 1
suggestions 1
suggests 2
suit 1
supports 1
suppose 1
supposed 1
supposing 1
sweat 1
takes 1
than 1
that 5
the 30
their 1
then 1
there 2
this 1
three 1
throughout 1
to 15
totally 1
trick 1
tricky 4
tries 2
troubled 2
true 1
twentytwo 1
two 1
typical 1
unborn 1
until 1
up34 1
upper 1
very 1
vietnamese 1
villagers 1
voting 1
was 2
washington 1
wasnt 1
water 1
we 3
well 2
what 1
when 1
whether 1
which 3
who 4
will 2
william 1
with 6
woman 5
you 1
