14121254
/m/03cv73_
/m/03cv73_
Julio Cortázar
1960
{"/m/05hgj": "Novel"}
a 6
accept 1
aires 1
among 1
an 1
and 5
are 3
as 1
attachments 1
be 1
bn 1
both 1
broken 1
buenos 1
but 1
caf 1
citizens 1
confined 1
confinement 1
confront 1
cover 1
crew 2
cross 1
cruise 1
darkness 1
desires 1
disease 1
driven 1
embark 1
escorted 1
eslos 1
explore 1
for 1
form 1
future 1
has 1
have 1
headed 1
hours 1
in 2
increasingly 1
inevitable 1
informed 1
knowing 1
leading 1
location 1
lottery 1
luxury 1
meet 1
merely 1
mull 1
mysterious 1
of 8
others 1
out 1
outbreak 1
over 1
passengers 2
pasts 1
pointless 1
popular 1
premios 1
received 1
secret 1
secrets 1
section 2
seems 1
ship 3
small 1
some 1
state 1
stops 1
summoned 1
suspense 1
suspicions 1
tell 1
that 3
the 11
their 3
them 1
they 3
tickets 1
to 5
under 1
violence 1
where 1
will 1
winners 1
within 1
without 1
